"country","iso_code","year","cases_total","region","cases_imported","cfr","deaths_total","cfr_hi","cfr_lo"
"Angola","AGO",1990,9527,"AFRO",NA,0.0849165529547602,809,0.0906943291208832,0.0793940651588171
"Angola","AGO",1991,8590,"AFRO",NA,0.0677532013969732,582,0.0732742855492721,0.0625275570778159
"Angola","AGO",1992,3608,"AFRO",NA,0.0509977827050998,184,0.0586867200486015,0.0440471691413037
"Angola","AGO",1994,3443,"AFRO",NA,0.0543130990415335,187,0.0624151493804938,0.0469789095473512
"Angola","AGO",1995,3295,"AFRO",NA,0.0752655538694992,248,0.0848076000137346,0.0664858611198522
"Angola","AGO",1996,1306,"AFRO",NA,0.0321592649310873,42,0.0432231654749061,0.0232738551988178
"Angola","AGO",2005,0,"AFRO",NA,NA,0,NA,NA
"Angola","AGO",2006,67257,"AFRO",NA,0.0404716237715033,2722,0.0419883190575404,0.0389947391921101
"Angola","AGO",2007,18422,"AFRO",NA,0.0278471392899794,513,0.0303260514056588,0.0255188113060446
"Angola","AGO",2008,10511,"AFRO",NA,0.0231186376177338,243,0.0261747515731366,0.020330830342456
"Angola","AGO",2009,2019,"AFRO",NA,0.0435859336305102,88,0.0534255618323155,0.0351013787236056
"Angola","AGO",2010,1484,"AFRO",NA,0.0202156334231806,30,0.0287341111356764,0.0136799493207268
"Angola","AGO",2011,1810,"AFRO",NA,0.0607734806629834,110,0.0727865932067856,0.0502099955758841
"Angola","AGO",2012,1215,"AFRO",NA,0.0806584362139918,98,0.0974175243353617,0.0659648551756189
"Angola","AGO",2013,6655,"AFRO",NA,0.0129226145755071,86,0.0159350404263956,0.010349065439843
"Angola","AGO",2014,213,"AFRO",NA,0.0140845070422535,3,0.0406069389981493,0.00291403565409614
"Angola","AGO",2016,78,"AFRO",NA,0.0384615384615385,3,0.108311650289272,0.00800302841749741
"Angola","AGO",2017,828,"AFRO",NA,0.0519323671497585,43,0.0693181143978066,0.0378351808171078
"Angola","AGO",2018,1546,"AFRO",NA,0.0161707632600259,25,0.0237792102365021,0.0104914940473079
"Benin","BEN",1970,175,"AFRO",NA,0.211428571428571,37,0.279450052853377,0.153448397690587
"Benin","BEN",1971,2133,"AFRO",NA,0.128457571495546,274,0.143403297651538,0.114541335624513
"Benin","BEN",1972,250,"AFRO",NA,0.116,29,0.16233205313311,0.0790789191331636
"Benin","BEN",1973,3,"AFRO",NA,0.666666666666667,2,0.991596241340387,0.0942993240502461
"Benin","BEN",1974,73,"AFRO",NA,0.0547945205479452,4,0.134393834354759,0.0151295238380366
"Benin","BEN",1975,45,"AFRO",NA,0.0222222222222222,1,0.117704331418294,0.000562459715402258
"Benin","BEN",1976,146,"AFRO",NA,0.0958904109589041,14,0.155653193808629,0.053421640111932
"Benin","BEN",1977,2,"AFRO",NA,0,0,0.841886116991581,0
"Benin","BEN",1978,27,"AFRO",NA,0,0,0.127702867615432,0
"Benin","BEN",1980,3,"AFRO",NA,0,0,0.707598226178713,0
"Benin","BEN",1981,2,"AFRO",NA,0,0,0.841886116991581,0
"Benin","BEN",1982,3,"AFRO",NA,0,0,0.707598226178713,0
"Benin","BEN",1983,1,"AFRO",NA,0,0,0.975,0
"Benin","BEN",1984,1,"AFRO",NA,0,0,0.975,0
"Benin","BEN",1986,243,"AFRO",NA,0.0534979423868313,13,0.0897457810264001,0.028789446234809
"Benin","BEN",1991,7474,"AFRO",NA,0.0346534653465347,259,0.0390525342249042,0.0306223812800122
"Benin","BEN",1992,413,"AFRO",NA,0.0411622276029056,17,0.0650881920731095,0.0241583385444301
"Benin","BEN",1993,10,"AFRO",NA,0.2,2,0.556095462307641,0.0252107263268334
"Benin","BEN",1994,187,"AFRO",NA,0.106951871657754,20,0.160338712231062,0.06656411285656
"Benin","BEN",1995,203,"AFRO",NA,0.0591133004926108,12,0.100981753634617,0.0309144685585625
"Benin","BEN",1996,6190,"AFRO",NA,0.032794830371567,203,0.0375382716883779,0.0284986386102514
"Benin","BEN",1997,796,"AFRO",NA,0.0201005025125628,16,0.0324371591302384,0.0115317544138403
"Benin","BEN",1998,206,"AFRO",NA,0.00485436893203883,1,0.0267485953221135,0.00012289442836725
"Benin","BEN",1999,855,"AFRO",NA,0.0292397660818713,25,0.0428624638867413,0.0190099210017961
"Benin","BEN",2000,468,"AFRO",NA,0.0235042735042735,11,0.0416658280624409,0.011790303991109
"Benin","BEN",2001,3943,"AFRO",NA,0.0180065939639868,71,0.0226592720565437,0.014089397571053
"Benin","BEN",2002,270,"AFRO",NA,0.0481481481481481,13,0.0809275689186598,0.0258826047048008
"Benin","BEN",2003,434,"AFRO",NA,0.0253456221198157,11,0.0448970656471337,0.0127188376658726
"Benin","BEN",2004,642,"AFRO",NA,0.014018691588785,9,0.0264444427630258,0.00642974278522291
"Benin","BEN",2005,749,"AFRO",NA,0.0146862483311081,11,0.0261255261729263,0.00735351866946658
"Benin","BEN",2006,91,"AFRO",NA,0.010989010989011,1,0.0597108128163317,0.000278178971210032
"Benin","BEN",2008,985,"AFRO",NA,0.0050761421319797,5,0.0118059689523948,0.00165020204892221
"Benin","BEN",2009,74,"AFRO",NA,0.0135135135135135,1,0.0730073885096648,0.000342074019664797
"Benin","BEN",2010,983,"AFRO",NA,0.0081383519837233,8,0.0159725255651939,0.00351992143823069
"Benin","BEN",2011,755,"AFRO",NA,0.00529801324503311,4,0.0135090351057653,0.00144536034486456
"Benin","BEN",2012,625,"AFRO",NA,0.0048,3,0.0139630460989826,0.000990971378684914
"Benin","BEN",2013,528,"AFRO",NA,0.0113636363636364,6,0.0245688140880947,0.00418135649898706
"Benin","BEN",2014,832,"AFRO",NA,0.0144230769230769,12,0.0250585604934982,0.00747423284602162
"Benin","BEN",2016,761,"AFRO",NA,0.0170827858081472,13,0.0290349345392633,0.00912641638320199
"Benin","BEN",2017,11,"AFRO",NA,0,0,0.284914152918154,0
"Benin","BEN",2019,50,"AFRO",NA,0,0,0.0711217364641976,0
"Benin","BEN",2020,232,"AFRO",NA,0.0258620689655172,6,0.0554380435958035,0.00954877781610126
"Benin","BEN",2021,1298,"AFRO",NA,0.0177195685670262,23,0.0264700093684512,0.0112650034991733
"Botswana","BWA",2005,0,"AFRO",NA,NA,0,NA,NA
"Botswana","BWA",2006,0,"AFRO",NA,NA,0,NA,NA
"Botswana","BWA",2008,8,"AFRO",NA,0.125,1,0.526509670875207,0.00315972353125191
"Botswana","BWA",2009,15,"AFRO",NA,0.133333333333333,2,0.404602696603372,0.0165759134400836
"Burkina Faso","BFA",1970,1,"AFRO",NA,1,1,1,0.025
"Burkina Faso","BFA",1971,1761,"AFRO",NA,0.281090289608177,495,0.302722671444805,0.260189707314937
"Burkina Faso","BFA",1972,1,"AFRO",NA,0,0,0.975,0
"Burkina Faso","BFA",1973,1118,"AFRO",NA,0.222719141323792,249,0.24826832165337,0.198638297335424
"Burkina Faso","BFA",1974,632,"AFRO",NA,0.104430379746835,66,0.130940957145055,0.0816905116345915
"Burkina Faso","BFA",1975,3,"AFRO",NA,1,3,1,0.292401773821287
"Burkina Faso","BFA",1978,1,"AFRO",NA,0,0,0.975,0
"Burkina Faso","BFA",1984,2191,"AFRO",NA,0.0534002738475582,117,0.0636563865631163,0.0443606804945682
"Burkina Faso","BFA",1985,1149,"AFRO",NA,0.135770234986945,156,0.156945148260824,0.116480735674581
"Burkina Faso","BFA",1991,537,"AFRO",NA,0.113594040968343,61,0.143516438364728,0.0880128124819736
"Burkina Faso","BFA",1995,1451,"AFRO",NA,0.0778773259820813,113,0.0928820594320938,0.0646098909325248
"Burkina Faso","BFA",1996,425,"AFRO",NA,0.136470588235294,58,0.17282152954145,0.105284875414228
"Burkina Faso","BFA",1998,1036,"AFRO",NA,0.0501930501930502,52,0.0653035481932998,0.0377104568607902
"Burkina Faso","BFA",1999,93,"AFRO",NA,0.0752688172043011,7,0.14895037050568,0.0307969516749863
"Burkina Faso","BFA",2000,617,"AFRO",NA,0.0226904376012966,14,0.037777878795678,0.0124592953139715
"Burkina Faso","BFA",2001,477,"AFRO",NA,0.0146750524109015,7,0.030001393252695,0.00591995384934619
"Burkina Faso","BFA",2003,1,"AFRO",NA,NA,NA,NA,NA
"Burkina Faso","BFA",2005,1050,"AFRO",NA,0.0152380952380952,16,0.0246280286962495,0.00873431333284139
"Burkina Faso","BFA",2006,0,"AFRO",NA,NA,0,NA,NA
"Burkina Faso","BFA",2008,0,"AFRO",NA,NA,0,NA,NA
"Burkina Faso","BFA",2011,20,"AFRO",NA,0.1,2,0.316982714019082,0.0123485271702948
"Burkina Faso","BFA",2012,143,"AFRO",NA,0.048951048951049,7,0.0982560506121901,0.0199046017420051
"Burkina Faso","BFA",2021,3,"AFRO",NA,0,0,0.707598226178713,0
"Burundi","BDI",1978,8297,"AFRO",NA,0.0298903218030613,248,0.033783785951927,0.0263318741944416
"Burundi","BDI",1979,915,"AFRO",NA,0.033879781420765,31,0.0477468169649435,0.0231334673117186
"Burundi","BDI",1980,2039,"AFRO",NA,0.0137322216772928,28,0.0197861309789971,0.00914383806693792
"Burundi","BDI",1981,582,"AFRO",NA,0.0189003436426117,11,0.0335658438095675,0.00947180788460409
"Burundi","BDI",1982,415,"AFRO",NA,0.0216867469879518,9,0.0407677924277656,0.00996338545533543
"Burundi","BDI",1983,512,"AFRO",NA,0.068359375,35,0.0937917927860117,0.0480733253727274
"Burundi","BDI",1984,180,"AFRO",NA,0.0555555555555556,10,0.0997936185947919,0.0269593394830075
"Burundi","BDI",1985,259,"AFRO",NA,0.0579150579150579,15,0.0937238802004376,0.0327734146410061
"Burundi","BDI",1990,82,"AFRO",NA,NA,NA,NA,NA
"Burundi","BDI",1991,3,"AFRO",NA,NA,NA,NA,NA
"Burundi","BDI",1992,479,"AFRO",NA,0.0605427974947808,29,0.0857948785711118,0.0409176706593315
"Burundi","BDI",1993,78,"AFRO",NA,0,0,0.0461924203280487,0
"Burundi","BDI",1994,562,"AFRO",NA,0.0729537366548043,41,0.0976707870831741,0.0528584400637632
"Burundi","BDI",1995,2297,"AFRO",NA,NA,NA,NA,NA
"Burundi","BDI",1996,418,"AFRO",NA,NA,NA,NA,NA
"Burundi","BDI",1997,1959,"AFRO",NA,0.0484941296579888,95,0.0589591368233853,0.0394089857853052
"Burundi","BDI",1998,1067,"AFRO",NA,0.0243673851921275,26,0.0355010789543425,0.0159779120760681
"Burundi","BDI",1999,3440,"AFRO",NA,0.0183139534883721,63,0.0233713826707171,0.0141009105458044
"Burundi","BDI",2000,1021,"AFRO",NA,0.0156709108716944,16,0.0253241125281694,0.00898311642518353
"Burundi","BDI",2001,1003,"AFRO",NA,0.0199401794616152,20,0.030628650813364,0.012221477725057
"Burundi","BDI",2002,577,"AFRO",NA,0.0138648180242634,8,0.0271356769573142,0.00600434315987042
"Burundi","BDI",2003,432,"AFRO",NA,0.0416666666666667,18,0.0650535744613487,0.0248782022228811
"Burundi","BDI",2004,819,"AFRO",NA,0.0170940170940171,14,0.0285146747756672,0.00937616405290815
"Burundi","BDI",2005,1309,"AFRO",NA,0.0137509549274255,18,0.02164565931099,0.00816950198801513
"Burundi","BDI",2006,886,"AFRO",NA,0.00790067720090293,7,0.016210294089162,0.00318221117485583
"Burundi","BDI",2007,365,"AFRO",NA,0.00547945205479452,2,0.01965250473833,0.000664277280577608
"Burundi","BDI",2008,234,"AFRO",NA,0.0170940170940171,4,0.0431867035392878,0.0046766890927226
"Burundi","BDI",2009,355,"AFRO",NA,0,0,0.0103374076276429,0
"Burundi","BDI",2010,333,"AFRO",NA,0.003003003003003,1,0.0166172608364905,7.60265632406297e-05
"Burundi","BDI",2011,1072,"AFRO",NA,0.000932835820895522,1,0.00518635961273047,2.36170793066918e-05
"Burundi","BDI",2012,214,"AFRO",NA,0.00467289719626168,1,0.0257593138532707,0.000118300515887329
"Burundi","BDI",2013,1557,"AFRO",NA,0.0109184328837508,17,0.0174240817171734,0.00637289450517141
"Burundi","BDI",2014,582,"AFRO",NA,0.0154639175257732,9,0.029151657222948,0.00709483491673941
"Burundi","BDI",2015,442,"AFRO",NA,0,0,0.00831115093723356,0
"Burundi","BDI",2016,434,"AFRO",NA,0.0115207373271889,5,0.0266795323635438,0.00375104312896743
"Burundi","BDI",2017,399,"AFRO",NA,0,0,0.0092027054234034,0
"Burundi","BDI",2018,92,"AFRO",NA,0.0108695652173913,1,0.0590778511498148,0.000275155702770739
"Burundi","BDI",2019,1145,"AFRO",NA,0.00786026200873362,9,0.0148685754459004,0.00360032878396601
"Burundi","BDI",2020,277,"AFRO",NA,0.0180505415162455,5,0.0416189067339759,0.00588629355193365
"Burundi","BDI",2021,11,"AFRO",NA,0,0,0.284914152918154,0
"Cameroon","CMR",1971,2167,"AFRO",NA,0.155053068758653,336,0.170988310416635,0.140056999155066
"Cameroon","CMR",1972,362,"AFRO",NA,0.074585635359116,27,0.106664684302167,0.0497252036238263
"Cameroon","CMR",1973,206,"AFRO",NA,0.0776699029126214,16,0.123067742632564,0.0450454946426787
"Cameroon","CMR",1974,83,"AFRO",NA,0.192771084337349,16,0.294085982553021,0.114391286258917
"Cameroon","CMR",1975,3,"AFRO",NA,0,0,0.707598226178713,0
"Cameroon","CMR",1976,135,"AFRO",NA,0.2,27,0.277486571880716,0.136131613665535
"Cameroon","CMR",1978,3,"AFRO",NA,0,0,0.707598226178713,0
"Cameroon","CMR",1979,16,"AFRO",NA,0.25,4,0.523770819896128,0.0726620382528822
"Cameroon","CMR",1980,229,"AFRO",NA,0.100436681222707,23,0.146887879292474,0.0647399852924299
