"country","iso_code","region","year","cases_total","cases_imported","deaths_total","first_epiwk","last_epiwk","coverage_days","year_fraction","source","cfr","cfr_lo","cfr_hi"
"AFRO Region","AFRO","AFRO",1995,70278,NA,2960,1995-01-01,1995-12-31,365,1,"AFRO_aggregate",0.0421184438942486,0.0406452466464018,0.0436295940317271
"AFRO Region","AFRO","AFRO",1996,108117,NA,5935,1996-01-01,1996-12-31,365,1,"AFRO_aggregate",0.0548942349491754,0.0535438610052944,0.0562685471871213
"AFRO Region","AFRO","AFRO",1997,118367,NA,5853,1997-01-01,1997-12-31,365,1,"AFRO_aggregate",0.0494479035542001,0.0482196507340595,0.0506982897065834
"AFRO Region","AFRO","AFRO",1998,211761,NA,9858,1998-01-01,1998-12-31,365,1,"AFRO_aggregate",0.04655248133509,0.0456590168284016,0.0474583842401076
"AFRO Region","AFRO","AFRO",1999,210820,NA,8707,1999-01-01,1999-12-31,365,1,"AFRO_aggregate",0.0413006356133194,0.0404551765305131,0.0421587359988184
"AFRO Region","AFRO","AFRO",2000,124484,NA,4960,2000-01-01,2000-12-31,365,1,"AFRO_aggregate",0.0398444780052055,0.0387646506326554,0.0409458075235499
"AFRO Region","AFRO","AFRO",2001,173954,NA,2752,2001-01-01,2001-12-31,365,1,"AFRO_aggregate",0.0158202743253964,0.0152391048158489,0.0164176601331877
"AFRO Region","AFRO","AFRO",2002,137860,NA,4551,2002-01-01,2002-12-31,365,1,"AFRO_aggregate",0.0330117510517917,0.0320748213008811,0.0339683888633709
"AFRO Region","AFRO","AFRO",2003,108066,NA,1884,2003-01-01,2003-12-31,365,1,"AFRO_aggregate",0.0174337904613847,0.0166618007482563,0.0182318314862218
"AFRO Region","AFRO","AFRO",2004,95560,NA,2331,2004-01-01,2004-12-31,365,1,"AFRO_aggregate",0.0243930514859774,0.0234241815881431,0.0253909351075653
"AFRO Region","AFRO","AFRO",2005,125018,NA,2230,2005-01-01,2005-12-31,365,1,"AFRO_aggregate",0.017837431409877,0.0171109296881418,0.0185864191026145
"AFRO Region","AFRO","AFRO",2006,234226,NA,6292,2006-01-01,2006-12-31,365,1,"AFRO_aggregate",0.0268629443358124,0.0262118908289323,0.0275257412850827
"AFRO Region","AFRO","AFRO",2007,167298,NA,3996,2007-01-01,2007-12-31,365,1,"AFRO_aggregate",0.0238855216440125,0.0231591133417794,0.0246284927616139
"AFRO Region","AFRO","AFRO",2008,179323,NA,5074,2008-01-01,2008-12-31,365,1,"AFRO_aggregate",0.0282953106963412,0.0275326974050381,0.029073223941413
