"country","iso_code","year","cases_total","region","cases_imported","cfr","deaths_total"
"Algeria","DZA",1971,1332,"AFRO",NA,0.0825825825825826,110
"Algeria","DZA",1972,646,"AFRO",NA,0.109907120743034,71
"Algeria","DZA",1973,605,"AFRO",NA,0.122314049586777,74
"Algeria","DZA",1974,738,"AFRO",NA,0.0677506775067751,50
"Algeria","DZA",1975,1165,"AFRO",NA,0.101287553648069,118
"Algeria","DZA",1976,286,"AFRO",NA,0.104895104895105,30
"Algeria","DZA",1977,262,"AFRO",NA,0.0343511450381679,9
"Algeria","DZA",1978,220,"AFRO",NA,0.0590909090909091,13
"Algeria","DZA",1979,2513,"AFRO",NA,0.0374054914444887,94
"Algeria","DZA",1980,614,"AFRO",NA,0.0293159609120521,18
"Algeria","DZA",1983,218,"AFRO",NA,0.0412844036697248,9
"Algeria","DZA",1984,45,"AFRO",NA,0,0
"Algeria","DZA",1987,1507,"AFRO",NA,0,0
"Algeria","DZA",1988,699,"AFRO",NA,0.0429184549356223,30
"Algeria","DZA",1989,393,"AFRO",NA,0,0
"Algeria","DZA",1990,1299,"AFRO",NA,0.0153964588144727,20
"Algeria","DZA",1992,69,"AFRO",NA,0,0
"Algeria","DZA",1994,118,"AFRO",NA,0.0338983050847458,4
"Algeria","DZA",2005,0,"AFRO",NA,NA,0
"Algeria","DZA",2006,0,"AFRO",NA,NA,0
"Angola","AGO",1971,1,"AFRO",NA,NA,NA
"Angola","AGO",1972,268,"AFRO",NA,0.0895522388059701,24
"Angola","AGO",1973,263,"AFRO",NA,0.0342205323193916,9
"Angola","AGO",1974,934,"AFRO",NA,0.0364025695931477,34
"Angola","AGO",1975,88,"AFRO",NA,0.0454545454545455,4
"Angola","AGO",1977,726,"AFRO",NA,0.0426997245179063,31
"Angola","AGO",1987,16222,"AFRO",NA,0.086487486129947,1403
"Angola","AGO",1988,15500,"AFRO",NA,0.0994838709677419,1542
"Angola","AGO",1989,17601,"AFRO",NA,0.0525538321686268,925
"Angola","AGO",1990,9527,"AFRO",NA,0.0849165529547602,809
