"iso_code","year","GDP"
"ABW",1960,NA
"ABW",1961,NA
"ABW",1962,NA
"ABW",1963,NA
"ABW",1964,NA
"ABW",1965,NA
"ABW",1966,NA
"ABW",1967,NA
"ABW",1968,NA
"ABW",1969,NA
"ABW",1970,NA
"ABW",1971,NA
"ABW",1972,NA
"ABW",1973,NA
"ABW",1974,NA
"ABW",1975,NA
"ABW",1976,NA
"ABW",1977,NA
"ABW",1978,NA
"ABW",1979,NA
"ABW",1980,NA
"ABW",1981,NA
"ABW",1982,NA
"ABW",1983,NA
"ABW",1984,NA
"ABW",1985,NA
"ABW",1986,405586592.178771
"ABW",1987,487709497.206704
"ABW",1988,596648044.692737
"ABW",1989,695530726.256983
"ABW",1990,764804469.273743
"ABW",1991,872067039.106145
"ABW",1992,958659217.877095
"ABW",1993,1083240223.46369
"ABW",1994,1245810055.86592
"ABW",1995,1320670391.06145
"ABW",1996,1379888268.15642
"ABW",1997,1531843575.41899
"ABW",1998,1665363128.49162
"ABW",1999,1722905027.93296
"ABW",2000,1873452513.96648
"ABW",2001,1896456983.24022
"ABW",2002,1961843575.41899
"ABW",2003,2044111731.84358
"ABW",2004,2254830726.25698
"ABW",2005,2360017318.43575
"ABW",2006,2469782681.56425
"ABW",2007,2677641340.78212
"ABW",2008,2843024581.00559
"ABW",2009,2553793296.08939
"ABW",2010,2453597206.70391
"ABW",2011,2637859217.87709
"ABW",2012,2615208379.88827
"ABW",2013,2727849720.67039
"ABW",2014,2790849720.67039
"ABW",2015,2962907262.56983
"ABW",2016,2983635195.53073
"ABW",2017,3092429050.27933
"ABW",2018,3276184357.5419
"ABW",2019,3395798882.68156
"ABW",2020,2481857122.8401
"ABW",2021,2929446578.25104
"ABW",2022,3279343543.60416
"ABW",2023,3648573136.15155
"ABW",2024,NA
"AFE",1960,24210632546.4092
"AFE",1961,24963977550.732
"AFE",1962,27078797298.7705
"AFE",1963,31775749181.2381
"AFE",1964,30285794056.9305
"AFE",1965,33813171214.3178
"AFE",1966,36934974916.7944
"AFE",1967,38452170915.8701
"AFE",1968,41750716742.6708
"AFE",1969,47058301051.0907
"AFE",1970,47603733607.8466
"AFE",1971,52199396058.8775
"AFE",1972,56737525054.6426
"AFE",1973,73098451708.7216
"AFE",1974,89554214418.5948
"AFE",1975,95315090874.5604
"AFE",1976,96025945909.7116
"AFE",1977,109230767189.887
"AFE",1978,124109354266.774
"AFE",1979,142129549067.435
"AFE",1980,178509359261.97
"AFE",1981,185163153183.273
"AFE",1982,178405098013.479
"AFE",1983,185822573393.842
"AFE",1984,170100082132.498
"AFE",1985,149398169631.57
"AFE",1986,160637695746.53
"AFE",1987,190274540364.314
"AFE",1988,207470327239.547
"AFE",1989,220712471558.904
"AFE",1990,256512313442.55
"AFE",1991,276493655917.114
"AFE",1992,241276314848.928
"AFE",1993,240096330186.925
"AFE",1994,243571151197.461
"AFE",1995,273433178583.626
"AFE",1996,273531010588.088
"AFE",1997,288377674812.452
"AFE",1998,268833477662.21
"AFE",1999,265429291101.256
"AFE",2000,287201650974.243
"AFE",2001,260992227761.932
"AFE",2002,267815037121.332
"AFE",2003,355716369350.727
"AFE",2004,442696185950.818
"AFE",2005,516661066397.697
"AFE",2006,580240750094.055
"AFE",2007,665598700905.863
