"iso_code","year","poverty_ratio"
"ABW",1960,NA
"ABW",1961,NA
"ABW",1962,NA
"ABW",1963,NA
"ABW",1964,NA
"ABW",1965,NA
"ABW",1966,NA
"ABW",1967,NA
"ABW",1968,NA
"ABW",1969,NA
"ABW",1970,NA
"ABW",1971,NA
"ABW",1972,NA
"ABW",1973,NA
"ABW",1974,NA
"ABW",1975,NA
"ABW",1976,NA
"ABW",1977,NA
"ABW",1978,NA
"ABW",1979,NA
"ABW",1980,NA
"ABW",1981,NA
"ABW",1982,NA
"ABW",1983,NA
"ABW",1984,NA
"ABW",1985,NA
"ABW",1986,NA
"ABW",1987,NA
"ABW",1988,NA
"ABW",1989,NA
"ABW",1990,NA
"ABW",1991,NA
"ABW",1992,NA
"ABW",1993,NA
"ABW",1994,NA
"ABW",1995,NA
"ABW",1996,NA
"ABW",1997,NA
"ABW",1998,NA
"ABW",1999,NA
"ABW",2000,NA
"ABW",2001,NA
"ABW",2002,NA
"ABW",2003,NA
"ABW",2004,NA
"ABW",2005,NA
"ABW",2006,NA
"ABW",2007,NA
"ABW",2008,NA
"ABW",2009,NA
"ABW",2010,NA
"ABW",2011,NA
"ABW",2012,NA
"ABW",2013,NA
"ABW",2014,NA
"ABW",2015,NA
"ABW",2016,NA
"ABW",2017,NA
"ABW",2018,NA
"ABW",2019,NA
"ABW",2020,NA
"ABW",2021,NA
"ABW",2022,NA
"ABW",2023,NA
"ABW",2024,NA
"AFE",1960,NA
"AFE",1961,NA
"AFE",1962,NA
"AFE",1963,NA
"AFE",1964,NA
"AFE",1965,NA
"AFE",1966,NA
"AFE",1967,NA
"AFE",1968,NA
"AFE",1969,NA
"AFE",1970,NA
"AFE",1971,NA
"AFE",1972,NA
"AFE",1973,NA
"AFE",1974,NA
"AFE",1975,NA
"AFE",1976,NA
"AFE",1977,NA
"AFE",1978,NA
"AFE",1979,NA
"AFE",1980,NA
"AFE",1981,NA
"AFE",1982,NA
"AFE",1983,NA
"AFE",1984,NA
"AFE",1985,NA
"AFE",1986,NA
"AFE",1987,NA
"AFE",1988,NA
"AFE",1989,NA
"AFE",1990,NA
"AFE",1991,NA
"AFE",1992,NA
"AFE",1993,NA
"AFE",1994,NA
"AFE",1995,NA
"AFE",1996,NA
"AFE",1997,NA
"AFE",1998,NA
"AFE",1999,NA
"AFE",2000,NA
"AFE",2001,NA
"AFE",2002,NA
"AFE",2003,NA
"AFE",2004,NA
"AFE",2005,NA
"AFE",2006,NA
"AFE",2007,NA
"AFE",2008,NA
"AFE",2009,NA
"AFE",2010,NA
"AFE",2011,NA
"AFE",2012,NA
"AFE",2013,NA
"AFE",2014,NA
"AFE",2015,NA
"AFE",2016,NA
"AFE",2017,NA
"AFE",2018,NA
"AFE",2019,NA
"AFE",2020,NA
"AFE",2021,NA
"AFE",2022,NA
"AFE",2023,NA
"AFE",2024,NA
"AFG",1960,NA
"AFG",1961,NA
"AFG",1962,NA
"AFG",1963,NA
"AFG",1964,NA
"AFG",1965,NA
"AFG",1966,NA
"AFG",1967,NA
"AFG",1968,NA
"AFG",1969,NA
"AFG",1970,NA
"AFG",1971,NA
"AFG",1972,NA
"AFG",1973,NA
"AFG",1974,NA
"AFG",1975,NA
"AFG",1976,NA
"AFG",1977,NA
