"iso_code","year","urban_pop_prop"
"ABW",1960,50.776
"ABW",1961,50.761
"ABW",1962,50.746
"ABW",1963,50.73
"ABW",1964,50.715
"ABW",1965,50.7
"ABW",1966,50.685
"ABW",1967,50.67
"ABW",1968,50.654
"ABW",1969,50.639
"ABW",1970,50.624
"ABW",1971,50.609
"ABW",1972,50.593
"ABW",1973,50.578
"ABW",1974,50.563
"ABW",1975,50.548
"ABW",1976,50.532
"ABW",1977,50.517
"ABW",1978,50.502
"ABW",1979,50.487
"ABW",1980,50.472
"ABW",1981,50.456
"ABW",1982,50.441
"ABW",1983,50.426
"ABW",1984,50.411
"ABW",1985,50.395
"ABW",1986,50.38
"ABW",1987,50.365
"ABW",1988,50.35
"ABW",1989,50.335
"ABW",1990,50.319
"ABW",1991,50.304
"ABW",1992,49.998
"ABW",1993,49.588
"ABW",1994,49.177
"ABW",1995,48.767
"ABW",1996,48.356
"ABW",1997,47.946
"ABW",1998,47.536
"ABW",1999,47.127
"ABW",2000,46.717
"ABW",2001,46.339
"ABW",2002,45.972
"ABW",2003,45.606
"ABW",2004,45.24
"ABW",2005,44.875
"ABW",2006,44.511
"ABW",2007,44.147
"ABW",2008,43.783
"ABW",2009,43.421
"ABW",2010,43.059
"ABW",2011,42.94
"ABW",2012,42.957
"ABW",2013,42.99
"ABW",2014,43.041
"ABW",2015,43.108
"ABW",2016,43.192
"ABW",2017,43.293
"ABW",2018,43.411
"ABW",2019,43.546
"ABW",2020,43.697
"ABW",2021,43.866
"ABW",2022,44.052
"ABW",2023,44.254
"ABW",2024,NA
"AFE",1960,14.5766764581838
"AFE",1961,14.8251752460665
"AFE",1962,15.0838015294909
"AFE",1963,15.3630446382495
"AFE",1964,15.6553833139663
"AFE",1965,15.9559120897687
"AFE",1966,16.2693838497471
"AFE",1967,16.5886566099201
"AFE",1968,16.9146492015162
"AFE",1969,17.2513169529071
"AFE",1970,17.570660582748
"AFE",1971,17.8951995132772
"AFE",1972,18.2413899400975
"AFE",1973,18.5837393625732
"AFE",1974,18.8988335351986
"AFE",1975,19.2191926051592
"AFE",1976,19.540021613309
"AFE",1977,19.8745750785636
"AFE",1978,20.2273041497785
"AFE",1979,20.5659562028733
"AFE",1980,20.9004895991676
"AFE",1981,21.2196276716722
"AFE",1982,21.5313179734841
"AFE",1983,21.9034538790279
"AFE",1984,22.3333446629263
"AFE",1985,22.8005778147925
"AFE",1986,23.303935569084
"AFE",1987,23.8053386242273
"AFE",1988,24.3067250815348
"AFE",1989,24.8006061562845
"AFE",1990,25.3087143914043
"AFE",1991,25.7425655052445
"AFE",1992,26.166294121751
