"country","latitude","longitude","elevation"
"AGO",-9.67511897506816,17.8564900970098,859
"AGO",-12.3236288695422,17.1985184580252,1548
"AGO",-10.3715117642306,17.0902539275348,1067
"AGO",-16.4437076145313,21.9397332075536,1025
"AGO",-16.4072131310676,13.4005193827491,1216
"AGO",-16.6581455027093,18.5073090462459,1177
"AGO",-13.6292486457771,13.3100713792562,730
"AGO",-13.561645091006,15.2258326114486,1668
"AGO",-12.2034102559461,16.2720538298982,1685
"AGO",-16.3912222866325,11.8251373996153,53
"BEN",11.7317800956768,3.37314581187268,173
"BEN",9.66936748270625,2.24838273559295,326
"BEN",11.2220194524984,2.1913195151245,305
"BEN",9.88439984121154,1.96691790069556,364
"BEN",9.85149946912545,2.30738263079948,349
"BEN",11.8771656765789,3.26390225751302,169
"BEN",10.4070195918923,3.31508654209607,315
"BEN",11.405287238867,2.50031293682956,319
"BEN",9.84555434996256,2.71481925131766,381
"BEN",9.71232204465613,3.23260857193952,484
"BWA",-20.6840102114851,25.260802484737,903
"BWA",-22.8331191101671,27.8017690285596,845
"BWA",-21.0425184642343,22.1409278597563,1068
"BWA",-22.4670294764315,20.5370584843349,1202
"BWA",-22.2548556811091,24.5973772091399,1013
"BWA",-21.0493423420394,24.7942806176799,908
"BWA",-24.0954809948012,23.0960344839131,1095
"BWA",-19.9506047400953,21.0978035814739,1082
"BWA",-24.2629312181212,21.9078105641584,1111
"BWA",-21.7116148357388,24.8469726112908,1006
"BFA",10.4338655532021,-3.5741263464335,345
"BFA",9.99393778602569,-4.12659352741208,306
"BFA",12.4052520573309,1.88510082532436,271
"BFA",12.6735798690598,-1.51604036036924,297
"BFA",12.2820356614555,0.889357848780603,296
"BFA",13.9670973169874,-1.32715652248006,330
"BFA",10.2239990992299,-3.75906266025279,362
"BFA",10.0132482832944,-4.38640685718499,319
"BFA",11.8098462741002,2.24921913143009,280
"BFA",11.7376704920503,-3.83923804236319,343
"BDI",-3.23847222216813,30.3344981597656,1599
"BDI",-4.1572842858945,30.0359027614143,1283
"BDI",-4.33207611012077,29.7520892032286,1461
"BDI",-3.17547179617939,29.7029704320266,1723
"BDI",-2.89997530338676,30.4353924599238,1355
"BDI",-3.20011612488949,29.770835503038,1758
"BDI",-3.15855643681297,29.8341997970542,1622
"BDI",-4.31731448135303,29.9365732848577,1290
"BDI",-3.29604607091036,30.26616270553,1664
"BDI",-3.48596274275888,29.8484787591162,1572
"CMR",6.22148884248375,11.8747840647525,859
"CMR",2.7934661696518,14.7635605928894,577
"CMR",5.22226127764216,10.8071600397533,889
"CMR",5.68877166232785,13.7788718518972,711
"CMR",5.71384114721796,13.8947224076038,871
"CMR",10.7094258895699,13.9918103811819,629
"CMR",4.51484302398034,10.3153315456773,238
"CMR",8.07076897230725,12.6563946859429,418
"CMR",4.31103461680188,14.3474636127425,653
"CMR",10.3114612881991,13.6787560616664,766
"CAF",8.87703777625301,22.952036893474,800
"CAF",6.23513650058536,21.7103754093192,625
"CAF",7.16696405381351,24.7802563436477,726
"CAF",6.77709112255097,18.5604349910749,497
"CAF",5.4967921491187,21.0793515742902,551
"CAF",5.30129253390484,26.8147376471761,689
"CAF",10.0987743845119,22.5724698572138,469
"CAF",6.71414783055249,21.544501340059,757
"CAF",5.56052964913222,22.3396723801657,668
"CAF",9.65277507200103,21.6699080704193,433
"TCD",11.2995509342693,20.4730677309331,444
"TCD",9.00586955772487,18.1821804079393,366
"TCD",18.2178078546414,20.3120997945441,416
"TCD",9.24255187713949,18.734566344075,367
"TCD",15.9881766286062,23.6641230558088,875
"TCD",14.7211552478023,16.0139035143437,323
"TCD",15.9762155939443,19.3788511857729,356
"TCD",13.2902688415417,15.9433981234113,290
"TCD",9.51841773437087,19.5505981278845,387
"TCD",14.9922655417627,14.3765492750363,353
"COG",-3.71525079694208,11.9484213995697,216
"COG",0.522932243343289,17.8971954914562,328
"COG",-3.61061087465939,15.8161233890432,426
"COG",-3.92736129916825,14.8406288979405,330
"COG",2.35431985711418,16.3209718646461,404
"COG",1.57681658719123,13.3455677255107,504
"COG",0.256834898862868,14.4722033467177,423
"COG",-2.02172937487899,12.6304149151504,772
"COG",-3.51305407475903,15.0249831614696,682
"COG",0.894893021226032,16.0236735930065,352
"COD",3.91561050309855,29.6076064169608,791
"COD",-3.43959800378187,20.4141787432534,359
"COD",3.63142176584041,29.9595577562645,847
"COD",-2.32299792099775,23.7656833911378,513
"COD",-9.77662884233055,25.0009298676567,858
"COD",1.44526314205542,22.5779882008466,481
"COD",-4.88072019047274,22.3190563956701,505
"COD",-2.40114232504225,22.8338063081916,424
"COD",4.21507329337841,29.140972755063,761
"COD",-8.50625382354273,28.7201964766767,1433
"CIV",6.28690056503316,-4.85854929155272,101
"CIV",5.96261264676868,-5.47073230015415,334
"CIV",6.50364429530595,-7.65092619106186,235
"CIV",9.33269078253406,-2.7130912746374,216
"CIV",5.87443977789582,-5.1189394893228,82
"CIV",5.15091407520971,-3.31888493795683,4
"CIV",5.28161764138042,-6.11565997093621,123
"CIV",8.50028210222801,-3.92160967479769,204
"CIV",9.19840876200114,-4.74661187440015,373
"CIV",5.98396764146197,-6.17208218116345,184
"GNQ",1.09177023450711,10.2753440788316,532
"GNQ",3.36484866193514,8.51105196259951,1058
"GNQ",1.09627857890793,11.1581669147305,544
"GNQ",1.82392858464994,10.9645424563534,657
"GNQ",1.63449067949675,10.2166527401396,709
"GNQ",1.95140186218714,9.92539318699006,65
"GNQ",1.41177623052466,10.6992372751484,689
"GNQ",1.1408900200623,10.8339455167238,649
