"country","latitude","longitude","elevation"
"AGO",-7.79972883601893,16.1791162930706,958
"AGO",-16.2284546200869,15.3348900824136,1128
"AGO",-8.24405043176184,20.112390174246,1007
"BEN",9.15765628230333,2.25806693951002,263
"BEN",11.1997707971327,2.15324438442156,287
"BEN",8.60360924333442,1.8920086989895,278
"BWA",-23.2961211735931,25.8890745247085,1028
"BWA",-24.614354369933,25.1367736375324,1228
"BWA",-20.5341436471945,25.6933429492616,902
"BFA",10.2681142183317,-2.99557911462486,313
"BFA",14.0809779726773,-0.920648589694239,306
"BFA",12.4399737284182,-0.187876276199184,309
"BDI",-3.27445328482684,29.6135773865757,2003
"BDI",-2.78667483784679,30.0678723657042,1497
"BDI",-3.90978234452305,29.6080292636225,1907
"CMR",5.76674364576824,14.5482192224589,1007
"CMR",5.95678588353461,13.381006783164,858
"CMR",7.04960433140557,13.0461479998627,1030
"CAF",5.07427193868345,22.8734954560299,563
"CAF",9.70959818953261,21.6762360423004,457
"CAF",5.4972765889463,24.2450048676231,606
"TCD",8.09088885766916,17.6590632043819,407
"TCD",19.0005686600544,20.1101221135958,472
"TCD",11.7572191125072,19.3951970007825,446
"COG",-1.95254765583997,14.8093558129139,469
"COG",-1.76218991261287,16.0299193432116,354
"COG",-2.69591238997474,15.4537552332852,684
"COD",0.301698098688196,22.5540263267705,463
"COD",3.40713933436768,26.957857699348,681
"COD",-4.39718579185141,19.5371516066157,411
"CIV",7.59338256797347,-5.28869524315273,274
"CIV",8.6427054031292,-4.64331071208074,389
"CIV",5.56179599388747,-3.53748360375098,65
"GNQ",3.30616386365955,8.62118867274862,708
"GNQ",2.14119124841337,10.6538907608382,522
"GNQ",1.80855326179513,10.3603178729338,657
"ERI",14.232005645785,41.0556003129866,663
"ERI",14.9320462760615,40.2343135194138,6
"ERI",13.851477140325,41.1594052424657,1028
"SWZ",-26.9818337895836,31.3921703614953,755
"SWZ",-27.0307402163332,31.6043963123416,529
"SWZ",-26.2512612554631,31.4069984455663,646
"ETH",12.6567201563135,37.5100980546308,2355
"ETH",7.38742618782073,40.641689458284,1706
"ETH",14.3949721028214,38.9478897618943,1877
"GAB",-3.47026142794658,10.8834628856425,68
"GAB",-1.64955746835835,11.3308410769612,678
"GAB",1.7033217707411,11.8989012780614,636
"GMB",13.4049441314399,-15.3367370712697,42
"GMB",13.4838829948324,-14.124854520908,28
"GMB",13.645410618716,-15.0200555110829,15
"GHA",5.32257960748757,-2.71188575068343,76
"GHA",6.58625400169683,0.140960897334038,80
"GHA",7.92455533884866,-0.763522611861664,117
"GIN",10.0147063843092,-12.0358557129547,234
"GIN",10.9230367801116,-9.85584762925649,483
"GIN",11.1693866529915,-12.4241059813669,959
"GNB",12.6526130972933,-14.3046150700628,44
"GNB",11.7913295004556,-14.4380427329694,64
"GNB",11.0993474681342,-15.1014974502183,0
"KEN",0.0603966830552614,40.6420846902854,132
"KEN",4.2180710990825,35.9140932135728,375
"KEN",-1.32467442007116,36.0509771947008,1573
"LSO",-29.1260197608136,28.9620137584204,2164
"LSO",-29.6550702954205,28.7645450609801,1967
"LSO",-29.5244833346711,27.7613324632297,1953
"LBR",5.42178432565387,-8.09740343172747,269
"LBR",7.38890743566807,-9.37638387233618,370
"LBR",6.92137156746532,-10.0079709926662,233
"MWI",-10.8172923552507,33.7137171714957,1566
"MWI",-14.4006868025075,35.2864134027547,488
"MWI",-14.5422964104859,35.0241633522196,890
"MLI",13.8954915581663,-11.8410277277941,131
"MLI",22.0788021800021,-0.600687026649657,334
"MLI",23.9548886597987,-4.2902618904844,328
"MRT",23.2732182120064,-10.0138796244442,228
"MRT",15.9220632660197,-11.3280158293236,130
"MRT",20.0077841810304,-11.9216721010359,303
"MOZ",-13.3193895157797,34.6259177713988,475
"MOZ",-14.0275481885916,37.101230340684,602
"MOZ",-11.808378129176,37.85381389349,338
"NAM",-20.8775022236833,16.16767574618,1526
"NAM",-18.1370982660328,17.5477540446087,1135
"NAM",-18.5566567448824,18.4526961528013,1174
"NER",21.5905925319599,14.1010070918333,511
"NER",15.009793838914,11.492917635596,391
"NER",15.1511474284505,11.1684271808222,402
"NGA",9.65043241672929,9.80134968440233,575
"NGA",5.35405137717425,5.83941424566472,9
"NGA",9.77089321912015,6.50838247107257,254
"RWA",-1.75868586768252,30.6974576336565,1406
"RWA",-1.4490382793693,29.7421896299088,2153
"RWA",-2.11108312938248,29.8537540749363,1584
"SEN",12.8809044505437,-11.7290403107646,163
"SEN",15.7323925647928,-13.2962849291363,15
"SEN",14.6654991359664,-16.289211798226,15
"SLE",8.1517900842996,-12.1032727967483,48
"SLE",9.81413631482317,-12.005066526284,127
"SLE",8.07742464744069,-11.6036043378998,104
"SOM",5.83887049537223,47.3741245022605,175
"SOM",1.67815585113902,42.687805605465,113
"SOM",2.34410041035979,42.7472428774109,312
"ZAF",-31.8669104061108,22.9735041065042,1280
"ZAF",-31.195728478327,23.3047069103008,1208
"ZAF",-27.8948710995042,21.7982355932037,1016
"SSD",4.93443111710279,33.3790132386954,564
"SSD",9.26015436456995,28.228791957738,404
"SSD",6.76180834806678,30.6991873911702,415
"TGO",6.73997481447572,1.26642913151748,82
"TGO",8.7689339839116,1.01910822505387,371
"TGO",7.08224331187618,1.27238372172596,155
"UGA",3.53732175854631,32.0303538192598,623
"UGA",0.643810424666646,33.0141123215203,1101
"UGA",-0.61425002553787,30.2389726517087,1553
"TZA",-4.73707792326085,38.7288042672663,362
"TZA",-4.78570944747242,29.696816660191,1088
"TZA",-4.68052916157863,37.9003206576104,704
"ZMB",-14.2503071670578,27.5667629925896,1117
"ZMB",-13.3877747920686,27.1297196408495,1174
"ZMB",-14.4557800365217,23.4871536887717,1063
"ZWE",-20.2022382589452,29.0904019888763,1195
"ZWE",-18.117656125808,29.7406177308419,1069
"ZWE",-18.8437149876242,29.5733772172414,1173
