"country","iso_code","elevation"
"Angola","AGO",1034.97480293209
"Burundi","BDI",1555.16995003158
"Benin","BEN",267.417665813984
"Burkina Faso","BFA",300.113031908031
"Botswana","BWA",1034.34967306185
"Central African Republic","CAF",599.224145086549
"Côte d’Ivoire","CIV",261.663499095846
"Cameroon","CMR",647.952107782394
"Democratic Republic of Congo","COD",687.094928749427
"Congo","COG",417.868637783718
"Comoros","COM",420.761870503596
"Cape Verde","CPV",289.372105997213
"Djibouti","DJI",443.831055667001
"Algeria","DZA",557.772778605611
"Egypt","EGY",299.294516332305
"Eritrea","ERI",752.247624755796
"Ethiopia","ETH",1254.06301499368
"Gabon","GAB",379.672157640895
"Ghana","GHA",180.515383923983
"Guinea","GIN",440.546141302102
"Gambia","GMB",23.4852977211468
"Guinea-Bissau","GNB",35.8255578867073
"Equatorial Guinea","GNQ",483.409748545195
"Kenya","KEN",783.90974836281
"Liberia","LBR",216.049075230661
"Libya","LBY",413.354858471243
"Lesotho","LSO",2211.91325805435
"Morocco","MAR",636.001979631816
"Madagascar","MDG",538.935511057251
"Mali","MLI",320.241430510191
"Mozambique","MOZ",352.883532058574
"Mauritania","MRT",262.822767568333
"Mauritius","MUS",185.949910554562
"Malawi","MWI",940.609705708595
"Namibia","NAM",1087.89601740065
"Niger","NER",462.004750810796
"Nigeria","NGA",329.478512397423
"Rwanda","RWA",1700.85969387755
"Sudan","SDN",529.382975499138
"Senegal","SEN",53.0935079702763
"Sierra Leone","SLE",199.349283712823
"Somalia","SOM",419.665764177841
"South Sudan","SSD",517.83324469662
"São Tomé & Príncipe","STP",274.548672566371
"Eswatini","SWZ",635.732124937279
"Seychelles","SYC",20.214392803598
"Chad","TCD",521.853993264595
"Togo","TGO",258.219950262516
"Tunisia","TUN",253.712054759357
"Tanzania","TZA",1017.66869783804
"Uganda","UGA",1167.34466859169
"South Africa","ZAF",1028.67533641262
"Zambia","ZMB",1120.3208678615
"Zimbabwe","ZWE",973.957107180896
