"country","iso_code","year","month","week","date_start","date_stop","cases","deaths","note"
"Uganda","UGA",2020,11,46,2020-11-09,2020-11-15,0,0,"Aceng et al 2025"
"Uganda","UGA",2020,11,47,2020-11-16,2020-11-22,0,0,"Aceng et al 2025"
"Uganda","UGA",2020,11,48,2020-11-23,2020-11-29,0,0,"Aceng et al 2025"
"Uganda","UGA",2020,11,49,2020-11-30,2020-12-06,0,0,"Aceng et al 2025"
"Uganda","UGA",2020,12,50,2020-12-07,2020-12-13,0,0,"Aceng et al 2025"
"Uganda","UGA",2020,12,51,2020-12-14,2020-12-20,0,0,"Aceng et al 2025"
"Uganda","UGA",2020,12,52,2020-12-21,2020-12-27,0,0,"Aceng et al 2025"
"Uganda","UGA",2020,12,53,2020-12-28,2021-01-03,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,1,1,2021-01-04,2021-01-10,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,1,2,2021-01-11,2021-01-17,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,1,3,2021-01-18,2021-01-24,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,1,4,2021-01-25,2021-01-31,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,2,5,2021-02-01,2021-02-07,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,2,6,2021-02-08,2021-02-14,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,2,7,2021-02-15,2021-02-21,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,2,8,2021-02-22,2021-02-28,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,3,9,2021-03-01,2021-03-07,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,3,10,2021-03-08,2021-03-14,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,3,11,2021-03-15,2021-03-21,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,3,12,2021-03-22,2021-03-28,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,3,13,2021-03-29,2021-04-04,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,4,14,2021-04-05,2021-04-11,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,4,15,2021-04-12,2021-04-18,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,4,16,2021-04-19,2021-04-25,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,4,17,2021-04-26,2021-05-02,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,5,18,2021-05-03,2021-05-09,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,5,19,2021-05-10,2021-05-16,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,5,20,2021-05-17,2021-05-23,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,5,21,2021-05-24,2021-05-30,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,5,22,2021-05-31,2021-06-06,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,6,23,2021-06-07,2021-06-13,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,6,24,2021-06-14,2021-06-20,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,6,25,2021-06-21,2021-06-27,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,6,26,2021-06-28,2021-07-04,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,7,27,2021-07-05,2021-07-11,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,7,28,2021-07-12,2021-07-18,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,7,29,2021-07-19,2021-07-25,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,7,30,2021-07-26,2021-08-01,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,8,31,2021-08-02,2021-08-08,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,8,32,2021-08-09,2021-08-15,25,0,"Aceng et al 2025"
"Uganda","UGA",2021,8,33,2021-08-16,2021-08-22,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,8,34,2021-08-23,2021-08-29,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,8,35,2021-08-30,2021-09-05,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,9,36,2021-09-06,2021-09-12,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,9,37,2021-09-13,2021-09-19,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,9,38,2021-09-20,2021-09-26,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,9,39,2021-09-27,2021-10-03,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,10,40,2021-10-04,2021-10-10,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,10,41,2021-10-11,2021-10-17,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,10,42,2021-10-18,2021-10-24,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,10,43,2021-10-25,2021-10-31,0,0,"Aceng et al 2025"
"Uganda","UGA",2021,11,44,2021-11-01,2021-11-07,51,0,"Aceng et al 2025"
"Uganda","UGA",2021,11,45,2021-11-08,2021-11-14,54,0,"Aceng et al 2025"
"Uganda","UGA",2021,11,46,2021-11-15,2021-11-21,18,0,"Aceng et al 2025"
"Uganda","UGA",2021,11,47,2021-11-22,2021-11-28,11,0,"Aceng et al 2025"
"Uganda","UGA",2021,11,48,2021-11-29,2021-12-05,1,0,"Aceng et al 2025"
