"origin_iso2","origin_iso3","origin_name","origin_lat","origin_lon","destination_iso2","destination_iso3","destination_name","destination_lat","destination_lon","year","count"
"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,1.48767123287671
"SN","SEN","Senegal",14.3648110931751,-14.4694479474536,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,111.72602739726
"SL","SLE","Sierra Leone",8.56249232471683,-11.7926118498279,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,9.94246575342466
"GN","GIN","Guinea",10.4373187488031,-10.9342459875925,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,3.48767123287671
"MR","MRT","Mauritania",20.2206937677679,-10.3699167351723,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.654794520547945
"LR","LBR","Liberia",6.45195766531815,-9.31983261845304,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.89041095890411
"CI","CIV","Côte d’Ivoire",7.62587836831142,-5.56910294273585,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,3.47671232876712
"ML","MLI","Mali",17.315139014512,-3.59047300916167,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,1.18082191780822
"BF","BFA","Burkina Faso",12.270726248786,-1.76113831212387,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,1.63013698630137
"GH","GHA","Ghana",7.94769971258465,-1.21698964043326,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,22.5534246575342
"TG","TGO","Togo",8.52077978482272,0.963859659570659,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.942465753424658
"BJ","BEN","Benin",9.63561223430696,2.32661464474629,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,2.60821917808219
"NG","NGA","Nigeria",9.59094557009618,8.07958685423834,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,21.0712328767123
"NE","NER","Niger",17.4120079629507,9.33161007434546,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,1.52054794520548
"GQ","GNQ","Equatorial Guinea",1.70540563315078,10.3417277952996,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.0657534246575342
"GA","GAB","Gabon",-0.586446577901779,11.7887417210203,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.0876712328767123
"CM","CMR","Cameroon",5.68116800316289,12.7339439676681,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.375342465753425
"CG","COG","Congo",-0.836992413922511,15.2211423374053,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.106849315068493
"NA","NAM","Namibia",-22.0696900138551,17.195019957489,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.0191780821917808
"AO","AGO","Angola",-12.2706139265484,17.5317833661526,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.767123287671233
"TD","TCD","Chad",15.2753594097694,18.6349974957477,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.0712328767123288
"CF","CAF","Central African Republic",6.57229916426693,20.4618329814897,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.0356164383561644
"CD","COD","Democratic Republic of Congo",-2.86548803140688,23.6377472380793,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.175342465753425
"BW","BWA","Botswana",-22.1652447870996,23.808612894002,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.112328767123288
"ZA","ZAF","South Africa",-28.9742085144411,25.1934382241476,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,2.16986301369863
"ZM","ZMB","Zambia",-13.4555254933089,27.8085818755982,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.167123287671233
"ZW","ZWE","Zimbabwe",-18.9970468090672,29.8510133796762,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.0958904109589041
"BI","BDI","Burundi",-3.35921514381577,29.8752284170777,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.010958904109589
"RW","RWA","Rwanda",-1.99032494977323,29.9199828803488,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.191780821917808
"SS","SSD","South Sudan",7.30869694542136,30.2513338314292,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.117808219178082
"SZ","SWZ","Eswatini",-26.5575464893393,31.4818696110519,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.00821917808219178
"UG","UGA","Uganda",1.27423154739338,32.3686653695696,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.506849315068493
"MW","MWI","Malawi",-13.2044253711777,34.2828475261884,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.10958904109589
"TZ","TZA","Tanzania",-6.26824779010462,34.801810641346,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.317808219178082
"MZ","MOZ","Mozambique",-17.19585753703,35.6027277441924,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.202739726027397
"KE","KEN","Kenya",0.59944883650654,37.7962282671581,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,1.35616438356164
"ER","ERI","Eritrea",15.3611244617467,38.8572739522595,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.00821917808219178
"ET","ETH","Ethiopia",8.61440065046904,39.6097922858362,"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,2017,0.863013698630137
"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.249315068493151
"SN","SEN","Senegal",14.3648110931751,-14.4694479474536,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,43.2931506849315
"SL","SLE","Sierra Leone",8.56249232471683,-11.7926118498279,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.167123287671233
"GN","GIN","Guinea",10.4373187488031,-10.9342459875925,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.931506849315068
"MR","MRT","Mauritania",20.2206937677679,-10.3699167351723,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.589041095890411
"LR","LBR","Liberia",6.45195766531815,-9.31983261845304,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.191780821917808
"CI","CIV","Côte d’Ivoire",7.62587836831142,-5.56910294273585,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,3.9041095890411
"ML","MLI","Mali",17.315139014512,-3.59047300916167,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.536986301369863
"BF","BFA","Burkina Faso",12.270726248786,-1.76113831212387,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,1.76438356164384
"GH","GHA","Ghana",7.94769971258465,-1.21698964043326,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.849315068493151
"TG","TGO","Togo",8.52077978482272,0.963859659570659,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,3.08219178082192
"BJ","BEN","Benin",9.63561223430696,2.32661464474629,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.632876712328767
"NG","NGA","Nigeria",9.59094557009618,8.07958685423834,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,1.07397260273973
"NE","NER","Niger",17.4120079629507,9.33161007434546,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.375342465753425
"GQ","GNQ","Equatorial Guinea",1.70540563315078,10.3417277952996,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.0219178082191781
"GA","GAB","Gabon",-0.586446577901779,11.7887417210203,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.0821917808219178
"CM","CMR","Cameroon",5.68116800316289,12.7339439676681,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.276712328767123
"CG","COG","Congo",-0.836992413922511,15.2211423374053,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.164383561643836
"AO","AGO","Angola",-12.2706139265484,17.5317833661526,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,1.0027397260274
"TD","TCD","Chad",15.2753594097694,18.6349974957477,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.0904109589041096
"CF","CAF","Central African Republic",6.57229916426693,20.4618329814897,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.010958904109589
"CD","COD","Democratic Republic of Congo",-2.86548803140688,23.6377472380793,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.153424657534247
"ZA","ZAF","South Africa",-28.9742085144411,25.1934382241476,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.2
"ZM","ZMB","Zambia",-13.4555254933089,27.8085818755982,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.00547945205479452
"ZW","ZWE","Zimbabwe",-18.9970468090672,29.8510133796762,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.0164383561643836
"BI","BDI","Burundi",-3.35921514381577,29.8752284170777,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.00547945205479452
"RW","RWA","Rwanda",-1.99032494977323,29.9199828803488,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.063013698630137
"UG","UGA","Uganda",1.27423154739338,32.3686653695696,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.0986301369863014
"MW","MWI","Malawi",-13.2044253711777,34.2828475261884,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.0164383561643836
"TZ","TZA","Tanzania",-6.26824779010462,34.801810641346,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.0931506849315069
"MZ","MOZ","Mozambique",-17.19585753703,35.6027277441924,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.356164383561644
"KE","KEN","Kenya",0.59944883650654,37.7962282671581,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.378082191780822
"ET","ETH","Ethiopia",8.61440065046904,39.6097922858362,"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,2017,0.23013698630137
"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,"SN","SEN","Senegal",14.3648110931751,-14.4694479474536,2017,98.6739726027397
"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,"SN","SEN","Senegal",14.3648110931751,-14.4694479474536,2017,41.2958904109589
"SN","SEN","Senegal",14.3648110931751,-14.4694479474536,"SN","SEN","Senegal",14.3648110931751,-14.4694479474536,2017,100.720547945205
