"origin_iso2","origin_iso3","origin_name","origin_lat","origin_lon","destination_iso2","destination_iso3","destination_name","destination_lat","destination_lon","year","count"
"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,9123.53846153846
"GM","GMB","Gambia",13.4509534899632,-15.3963233373991,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,6.36538461538461
"GW","GNB","Guinea-Bissau",12.0477507880705,-14.9499240572075,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,47.4230769230769
"SN","SEN","Senegal",14.3648110931751,-14.4694479474536,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,203.076923076923
"SL","SLE","Sierra Leone",8.56249232471683,-11.7926118498279,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,1.55769230769231
"GN","GIN","Guinea",10.4373187488031,-10.9342459875925,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,2.28846153846154
"MR","MRT","Mauritania",20.2206937677679,-10.3699167351723,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,1.76923076923077
"LR","LBR","Liberia",6.45195766531815,-9.31983261845304,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,1.46153846153846
"MA","MAR","Morocco",29.7668591371827,-8.72784775206801,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,86.0769230769231
"CI","CIV","Côte d’Ivoire",7.62587836831142,-5.56910294273585,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,7.73076923076923
"ML","MLI","Mali",17.315139014512,-3.59047300916167,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,2.23076923076923
"BF","BFA","Burkina Faso",12.270726248786,-1.76113831212387,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,2.51923076923077
"GH","GHA","Ghana",7.94769971258465,-1.21698964043326,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,5.59615384615385
"TG","TGO","Togo",8.52077978482272,0.963859659570659,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,1.55769230769231
"BJ","BEN","Benin",9.63561223430696,2.32661464474629,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,1.71153846153846
"DZ","DZA","Algeria",28.0559934221189,2.63118841378347,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,0.788461538461538
"ST","STP","São Tomé & Príncipe",0.44384009185498,6.72421635963986,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,3.05769230769231
"NG","NGA","Nigeria",9.59094557009618,8.07958685423834,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,6.98076923076923
"NE","NER","Niger",17.4120079629507,9.33161007434546,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,1.28846153846154
"TN","TUN","Tunisia",34.0889554864525,9.55612880162237,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,2.01923076923077
"GQ","GNQ","Equatorial Guinea",1.70540563315078,10.3417277952996,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,0.692307692307692
"GA","GAB","Gabon",-0.586446577901779,11.7887417210203,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,0.346153846153846
"CM","CMR","Cameroon",5.68116800316289,12.7339439676681,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,3.28846153846154
"CG","COG","Congo",-0.836992413922511,15.2211423374053,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,28.1923076923077
"NA","NAM","Namibia",-22.0696900138551,17.195019957489,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,0.0384615384615385
"AO","AGO","Angola",-12.2706139265484,17.5317833661526,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,29.4038461538462
"LY","LBY","Libya",27.0167163927208,18.0667932182187,"CV","CPV","Cape Verde",15.9533055158383,-23.9565440226583,2017,0.0192307692307692
