"origin_iso2","origin_iso3","origin_name","destination_iso2","destination_iso3","destination_name","year","count"
"AO","AGO","Angola","AO","AGO","Angola",2017,18078.0384615385
"BJ","BEN","Benin","AO","AGO","Angola",2017,7.28846153846154
"BW","BWA","Botswana","AO","AGO","Angola",2017,20.7692307692308
"BF","BFA","Burkina Faso","AO","AGO","Angola",2017,2.13461538461538
"BI","BDI","Burundi","AO","AGO","Angola",2017,1.55769230769231
"CM","CMR","Cameroon","AO","AGO","Angola",2017,69.5961538461538
"CF","CAF","Central African Republic","AO","AGO","Angola",2017,3.05769230769231
"TD","TCD","Chad","AO","AGO","Angola",2017,2.25
"CG","COG","Congo","AO","AGO","Angola",2017,146.230769230769
"CI","CIV","Côte d’Ivoire","AO","AGO","Angola",2017,22.7692307692308
"CD","COD","Democratic Republic of Congo","AO","AGO","Angola",2017,121
"GQ","GNQ","Equatorial Guinea","AO","AGO","Angola",2017,8.23076923076923
"ER","ERI","Eritrea","AO","AGO","Angola",2017,0.269230769230769
"SZ","SWZ","Eswatini","AO","AGO","Angola",2017,2.65384615384615
"ET","ETH","Ethiopia","AO","AGO","Angola",2017,43.1923076923077
"GA","GAB","Gabon","AO","AGO","Angola",2017,12.0192307692308
"GM","GMB","Gambia","AO","AGO","Angola",2017,5.42307692307692
"GH","GHA","Ghana","AO","AGO","Angola",2017,25.5576923076923
"GN","GIN","Guinea","AO","AGO","Angola",2017,44.9038461538462
"GW","GNB","Guinea-Bissau","AO","AGO","Angola",2017,8.86538461538461
"KE","KEN","Kenya","AO","AGO","Angola",2017,56.3846153846154
"LS","LSO","Lesotho","AO","AGO","Angola",2017,3.03846153846154
"LR","LBR","Liberia","AO","AGO","Angola",2017,0.423076923076923
"MW","MWI","Malawi","AO","AGO","Angola",2017,2.5
"ML","MLI","Mali","AO","AGO","Angola",2017,30.4807692307692
"MR","MRT","Mauritania","AO","AGO","Angola",2017,37.2115384615385
"MZ","MOZ","Mozambique","AO","AGO","Angola",2017,119.673076923077
"NA","NAM","Namibia","AO","AGO","Angola",2017,709.442307692308
"NE","NER","Niger","AO","AGO","Angola",2017,0.480769230769231
"NG","NGA","Nigeria","AO","AGO","Angola",2017,90.0961538461538
"RW","RWA","Rwanda","AO","AGO","Angola",2017,4.84615384615385
"SN","SEN","Senegal","AO","AGO","Angola",2017,19.8076923076923
"SL","SLE","Sierra Leone","AO","AGO","Angola",2017,8.86538461538461
"SO","SOM","Somalia","AO","AGO","Angola",2017,0.153846153846154
"ZA","ZAF","South Africa","AO","AGO","Angola",2017,1753.17307692308
"SS","SSD","South Sudan","AO","AGO","Angola",2017,0.269230769230769
"TZ","TZA","Tanzania","AO","AGO","Angola",2017,29.4423076923077
"TG","TGO","Togo","AO","AGO","Angola",2017,1.34615384615385
"UG","UGA","Uganda","AO","AGO","Angola",2017,7.84615384615385
"ZM","ZMB","Zambia","AO","AGO","Angola",2017,86.7692307692308
"ZW","ZWE","Zimbabwe","AO","AGO","Angola",2017,93.6153846153846
"AO","AGO","Angola","BJ","BEN","Benin",2017,5.73076923076923
"BW","BWA","Botswana","BJ","BEN","Benin",2017,3.07692307692308
"BF","BFA","Burkina Faso","BJ","BEN","Benin",2017,160.519230769231
"BI","BDI","Burundi","BJ","BEN","Benin",2017,5.98076923076923
"CM","CMR","Cameroon","BJ","BEN","Benin",2017,851.25
"CF","CAF","Central African Republic","BJ","BEN","Benin",2017,75.3269230769231
"TD","TCD","Chad","BJ","BEN","Benin",2017,38.4423076923077
"CG","COG","Congo","BJ","BEN","Benin",2017,558.211538461538
"CI","CIV","Côte d’Ivoire","BJ","BEN","Benin",2017,610.346153846154
"CD","COD","Democratic Republic of Congo","BJ","BEN","Benin",2017,52.4615384615385
"GQ","GNQ","Equatorial Guinea","BJ","BEN","Benin",2017,439.019230769231
"SZ","SWZ","Eswatini","BJ","BEN","Benin",2017,0.173076923076923
"ET","ETH","Ethiopia","BJ","BEN","Benin",2017,35.7307692307692
"GA","GAB","Gabon","BJ","BEN","Benin",2017,816.057692307692
"GM","GMB","Gambia","BJ","BEN","Benin",2017,20.0769230769231
"GH","GHA","Ghana","BJ","BEN","Benin",2017,81.3846153846154
"GN","GIN","Guinea","BJ","BEN","Benin",2017,59.9038461538462
"GW","GNB","Guinea-Bissau","BJ","BEN","Benin",2017,5.61538461538461
"KE","KEN","Kenya","BJ","BEN","Benin",2017,25.2307692307692
"LS","LSO","Lesotho","BJ","BEN","Benin",2017,0.25
"LR","LBR","Liberia","BJ","BEN","Benin",2017,10
"MW","MWI","Malawi","BJ","BEN","Benin",2017,2.78846153846154
"ML","MLI","Mali","BJ","BEN","Benin",2017,147.615384615385
"MR","MRT","Mauritania","BJ","BEN","Benin",2017,12.75
"MZ","MOZ","Mozambique","BJ","BEN","Benin",2017,3.23076923076923
"NA","NAM","Namibia","BJ","BEN","Benin",2017,1.34615384615385
"NE","NER","Niger","BJ","BEN","Benin",2017,74.3269230769231
"NG","NGA","Nigeria","BJ","BEN","Benin",2017,320.846153846154
"RW","RWA","Rwanda","BJ","BEN","Benin",2017,29.6538461538462
"SN","SEN","Senegal","BJ","BEN","Benin",2017,359.153846153846
"SL","SLE","Sierra Leone","BJ","BEN","Benin",2017,4.82692307692308
"SO","SOM","Somalia","BJ","BEN","Benin",2017,0.0769230769230769
"ZA","ZAF","South Africa","BJ","BEN","Benin",2017,101.019230769231
"SS","SSD","South Sudan","BJ","BEN","Benin",2017,0.346153846153846
"TZ","TZA","Tanzania","BJ","BEN","Benin",2017,13.5192307692308
"TG","TGO","Togo","BJ","BEN","Benin",2017,92.0769230769231
"UG","UGA","Uganda","BJ","BEN","Benin",2017,13.0769230769231
"ZM","ZMB","Zambia","BJ","BEN","Benin",2017,4.69230769230769
"ZW","ZWE","Zimbabwe","BJ","BEN","Benin",2017,3.17307692307692
"AO","AGO","Angola","BW","BWA","Botswana",2017,29.7115384615385
"BJ","BEN","Benin","BW","BWA","Botswana",2017,10.1923076923077
"BW","BWA","Botswana","BW","BWA","Botswana",2017,1616.48076923077
"BF","BFA","Burkina Faso","BW","BWA","Botswana",2017,2.92307692307692
"BI","BDI","Burundi","BW","BWA","Botswana",2017,1.32692307692308
"CM","CMR","Cameroon","BW","BWA","Botswana",2017,3.96153846153846
"CF","CAF","Central African Republic","BW","BWA","Botswana",2017,0.211538461538462
"TD","TCD","Chad","BW","BWA","Botswana",2017,0.25
"CG","COG","Congo","BW","BWA","Botswana",2017,7.84615384615385
"CI","CIV","Côte d’Ivoire","BW","BWA","Botswana",2017,5.05769230769231
"CD","COD","Democratic Republic of Congo","BW","BWA","Botswana",2017,17.4807692307692
"GQ","GNQ","Equatorial Guinea","BW","BWA","Botswana",2017,0.423076923076923
"ER","ERI","Eritrea","BW","BWA","Botswana",2017,0.423076923076923
"SZ","SWZ","Eswatini","BW","BWA","Botswana",2017,19.8461538461538
"ET","ETH","Ethiopia","BW","BWA","Botswana",2017,24.3269230769231
"GA","GAB","Gabon","BW","BWA","Botswana",2017,5.69230769230769
