"variable","year","week","value","date_start","date_stop"
"IOD",1970,1,0.298403225806452,1969-12-29,1970-01-04
"ENSO3",1970,1,0.399677419354839,1969-12-29,1970-01-04
"ENSO34",1970,1,0.276129032258065,1969-12-29,1970-01-04
"ENSO4",1970,1,0.213870967741935,1969-12-29,1970-01-04
"IOD",1970,2,0.303548387096774,1970-01-05,1970-01-11
"ENSO3",1970,2,0.325161290322581,1970-01-05,1970-01-11
"ENSO34",1970,2,0.261935483870968,1970-01-05,1970-01-11
"ENSO4",1970,2,0.228064516129032,1970-01-05,1970-01-11
"IOD",1970,3,0.310096774193548,1970-01-12,1970-01-18
"ENSO3",1970,3,0.230322580645161,1970-01-12,1970-01-18
"ENSO34",1970,3,0.243870967741936,1970-01-12,1970-01-18
"ENSO4",1970,3,0.246129032258065,1970-01-12,1970-01-18
"IOD",1970,4,0.316645161290323,1970-01-19,1970-01-25
"ENSO3",1970,4,0.135483870967742,1970-01-19,1970-01-25
"ENSO34",1970,4,0.225806451612903,1970-01-19,1970-01-25
"ENSO4",1970,4,0.264193548387097,1970-01-19,1970-01-25
"IOD",1970,5,0.323193548387097,1970-01-26,1970-02-01
"ENSO3",1970,5,0.0406451612903226,1970-01-26,1970-02-01
"ENSO34",1970,5,0.207741935483871,1970-01-26,1970-02-01
"ENSO4",1970,5,0.282258064516129,1970-01-26,1970-02-01
"IOD",1970,6,0.289142857142857,1970-02-02,1970-02-08
"ENSO3",1970,6,-0.0542857142857143,1970-02-02,1970-02-08
"ENSO34",1970,6,0.151428571428571,1970-02-02,1970-02-08
"ENSO4",1970,6,0.25,1970-02-02,1970-02-08
"IOD",1970,7,0.224642857142857,1970-02-09,1970-02-15
"ENSO3",1970,7,-0.149285714285714,1970-02-09,1970-02-15
"ENSO34",1970,7,0.0664285714285714,1970-02-09,1970-02-15
"ENSO4",1970,7,0.18,1970-02-09,1970-02-15
"IOD",1970,8,0.160142857142857,1970-02-16,1970-02-22
"ENSO3",1970,8,-0.244285714285714,1970-02-16,1970-02-22
"ENSO34",1970,8,-0.0185714285714286,1970-02-16,1970-02-22
"ENSO4",1970,8,0.11,1970-02-16,1970-02-22
"IOD",1970,9,0.0956428571428572,1970-02-23,1970-03-01
"ENSO3",1970,9,-0.339285714285714,1970-02-23,1970-03-01
"ENSO34",1970,9,-0.103571428571429,1970-02-23,1970-03-01
"ENSO4",1970,9,0.04,1970-02-23,1970-03-01
"IOD",1970,10,0.0874838709677419,1970-03-02,1970-03-08
"ENSO3",1970,10,-0.400645161290323,1970-03-02,1970-03-08
"ENSO34",1970,10,-0.132258064516129,1970-03-02,1970-03-08
"ENSO4",1970,10,0.00225806451612903,1970-03-02,1970-03-08
"IOD",1970,11,0.12158064516129,1970-03-09,1970-03-15
"ENSO3",1970,11,-0.436774193548387,1970-03-09,1970-03-15
"ENSO34",1970,11,-0.118709677419355,1970-03-09,1970-03-15
"ENSO4",1970,11,-0.0112903225806452,1970-03-09,1970-03-15
"IOD",1970,12,0.155677419354839,1970-03-16,1970-03-22
"ENSO3",1970,12,-0.472903225806452,1970-03-16,1970-03-22
"ENSO34",1970,12,-0.105161290322581,1970-03-16,1970-03-22
"ENSO4",1970,12,-0.0248387096774194,1970-03-16,1970-03-22
"IOD",1970,13,0.189774193548387,1970-03-23,1970-03-29
"ENSO3",1970,13,-0.509032258064516,1970-03-23,1970-03-29
"ENSO34",1970,13,-0.0916129032258065,1970-03-23,1970-03-29
"ENSO4",1970,13,-0.0383870967741936,1970-03-23,1970-03-29
"IOD",1970,14,0.215150537634409,1970-03-30,1970-04-05
"ENSO3",1970,14,-0.558740399385561,1970-03-30,1970-04-05
"ENSO34",1970,14,-0.0913056835637481,1970-03-30,1970-04-05
"ENSO4",1970,14,-0.0510752688172043,1970-03-30,1970-04-05
"IOD",1970,15,0.209133333333333,1970-04-06,1970-04-12
"ENSO3",1970,15,-0.657333333333333,1970-04-06,1970-04-12
"ENSO34",1970,15,-0.138666666666667,1970-04-06,1970-04-12
"ENSO4",1970,15,-0.0606666666666667,1970-04-06,1970-04-12
"IOD",1970,16,0.2005,1970-04-13,1970-04-19
"ENSO3",1970,16,-0.76,1970-04-13,1970-04-19
"ENSO34",1970,16,-0.19,1970-04-13,1970-04-19
"ENSO4",1970,16,-0.07,1970-04-13,1970-04-19
"IOD",1970,17,0.191866666666667,1970-04-20,1970-04-26
"ENSO3",1970,17,-0.862666666666667,1970-04-20,1970-04-26
"ENSO34",1970,17,-0.241333333333333,1970-04-20,1970-04-26
"ENSO4",1970,17,-0.0793333333333333,1970-04-20,1970-04-26
"IOD",1970,18,0.175923195084485,1970-04-27,1970-05-03
"ENSO3",1970,18,-0.96568356374808,1970-04-27,1970-05-03
"ENSO34",1970,18,-0.294915514592934,1970-04-27,1970-05-03
"ENSO4",1970,18,-0.091689708141321,1970-04-27,1970-05-03
"IOD",1970,19,0.072258064516129,1970-05-04,1970-05-10
"ENSO3",1970,19,-1.07290322580645,1970-05-04,1970-05-10
"ENSO34",1970,19,-0.375483870967742,1970-05-04,1970-05-10
"ENSO4",1970,19,-0.140322580645161,1970-05-04,1970-05-10
"IOD",1970,20,-0.0557741935483871,1970-05-11,1970-05-17
"ENSO3",1970,20,-1.18129032258065,1970-05-11,1970-05-17
"ENSO34",1970,20,-0.463548387096774,1970-05-11,1970-05-17
"ENSO4",1970,20,-0.199032258064516,1970-05-11,1970-05-17
"IOD",1970,21,-0.183806451612903,1970-05-18,1970-05-24
"ENSO3",1970,21,-1.28967741935484,1970-05-18,1970-05-24
"ENSO34",1970,21,-0.551612903225806,1970-05-18,1970-05-24
"ENSO4",1970,21,-0.257741935483871,1970-05-18,1970-05-24
"IOD",1970,22,-0.311838709677419,1970-05-25,1970-05-31
"ENSO3",1970,22,-1.39806451612903,1970-05-25,1970-05-31
"ENSO34",1970,22,-0.639677419354839,1970-05-25,1970-05-31
"ENSO4",1970,22,-0.316451612903226,1970-05-25,1970-05-31
"IOD",1970,23,-0.4035,1970-06-01,1970-06-07
"ENSO3",1970,23,-1.507,1970-06-01,1970-06-07
"ENSO34",1970,23,-0.729,1970-06-01,1970-06-07
"ENSO4",1970,23,-0.361,1970-06-01,1970-06-07
"IOD",1970,24,-0.446666666666667,1970-06-08,1970-06-14
"ENSO3",1970,24,-1.61666666666667,1970-06-08,1970-06-14
"ENSO34",1970,24,-0.82,1970-06-08,1970-06-14
"ENSO4",1970,24,-0.386666666666667,1970-06-08,1970-06-14
"IOD",1970,25,-0.489833333333333,1970-06-15,1970-06-21
"ENSO3",1970,25,-1.72633333333333,1970-06-15,1970-06-21
"ENSO34",1970,25,-0.911,1970-06-15,1970-06-21
"ENSO4",1970,25,-0.412333333333333,1970-06-15,1970-06-21
"IOD",1970,26,-0.533,1970-06-22,1970-06-28
"ENSO3",1970,26,-1.836,1970-06-22,1970-06-28
"ENSO34",1970,26,-1.002,1970-06-22,1970-06-28
"ENSO4",1970,26,-0.438,1970-06-22,1970-06-28
"IOD",1970,27,-0.557264976958525,1970-06-29,1970-07-05
"ENSO3",1970,27,-1.91452995391705,1970-06-29,1970-07-05
"ENSO34",1970,27,-1.08272350230415,1970-06-29,1970-07-05
"ENSO4",1970,27,-0.478705069124424,1970-06-29,1970-07-05
"IOD",1970,28,-0.513483870967742,1970-07-06,1970-07-12
"ENSO3",1970,28,-1.88096774193548,1970-07-06,1970-07-12
"ENSO34",1970,28,-1.12645161290323,1970-07-06,1970-07-12
"ENSO4",1970,28,-0.573548387096774,1970-07-06,1970-07-12
"IOD",1970,29,-0.464032258064516,1970-07-13,1970-07-19
"ENSO3",1970,29,-1.83806451612903,1970-07-13,1970-07-19
"ENSO34",1970,29,-1.16709677419355,1970-07-13,1970-07-19
"ENSO4",1970,29,-0.672903225806452,1970-07-13,1970-07-19
"IOD",1970,30,-0.41458064516129,1970-07-20,1970-07-26
"ENSO3",1970,30,-1.79516129032258,1970-07-20,1970-07-26
"ENSO34",1970,30,-1.20774193548387,1970-07-20,1970-07-26
"ENSO4",1970,30,-0.772258064516129,1970-07-20,1970-07-26
"IOD",1970,31,-0.367285714285714,1970-07-27,1970-08-02
"ENSO3",1970,31,-1.75096774193548,1970-07-27,1970-08-02
"ENSO34",1970,31,-1.24668202764977,1970-07-27,1970-08-02
"ENSO4",1970,31,-0.870552995391705,1970-07-27,1970-08-02
"IOD",1970,32,-0.391161290322581,1970-08-03,1970-08-09
"ENSO3",1970,32,-1.6641935483871,1970-08-03,1970-08-09
"ENSO34",1970,32,-1.22935483870968,1970-08-03,1970-08-09
"ENSO4",1970,32,-0.933870967741936,1970-08-03,1970-08-09
"IOD",1970,33,-0.447387096774194,1970-08-10,1970-08-16
"ENSO3",1970,33,-1.55806451612903,1970-08-10,1970-08-16
"ENSO34",1970,33,-1.18645161290323,1970-08-10,1970-08-16
"ENSO4",1970,33,-0.981290322580645,1970-08-10,1970-08-16
"IOD",1970,34,-0.503612903225806,1970-08-17,1970-08-23
"ENSO3",1970,34,-1.45193548387097,1970-08-17,1970-08-23
"ENSO34",1970,34,-1.14354838709677,1970-08-17,1970-08-23
"ENSO4",1970,34,-1.02870967741935,1970-08-17,1970-08-23
"IOD",1970,35,-0.559838709677419,1970-08-24,1970-08-30
"ENSO3",1970,35,-1.3458064516129,1970-08-24,1970-08-30
"ENSO34",1970,35,-1.10064516129032,1970-08-24,1970-08-30
"ENSO4",1970,35,-1.07612903225806,1970-08-24,1970-08-30
"IOD",1970,36,-0.601566820276498,1970-08-31,1970-09-06
"ENSO3",1970,36,-1.27216589861751,1970-08-31,1970-09-06
"ENSO34",1970,36,-1.0744470046083,1970-08-31,1970-09-06
"ENSO4",1970,36,-1.11331797235023,1970-08-31,1970-09-06
"IOD",1970,37,-0.6114,1970-09-07,1970-09-13
"ENSO3",1970,37,-1.27,1970-09-07,1970-09-13
"ENSO34",1970,37,-1.085,1970-09-07,1970-09-13
"ENSO4",1970,37,-1.128,1970-09-07,1970-09-13
"IOD",1970,38,-0.620266666666667,1970-09-14,1970-09-20
"ENSO3",1970,38,-1.27,1970-09-14,1970-09-20
"ENSO34",1970,38,-1.09666666666667,1970-09-14,1970-09-20
"ENSO4",1970,38,-1.142,1970-09-14,1970-09-20
"IOD",1970,39,-0.629133333333333,1970-09-21,1970-09-27
"ENSO3",1970,39,-1.27,1970-09-21,1970-09-27
"ENSO34",1970,39,-1.10833333333333,1970-09-21,1970-09-27
"ENSO4",1970,39,-1.156,1970-09-21,1970-09-27
"IOD",1970,40,-0.627762211981567,1970-09-28,1970-10-04
"ENSO3",1970,40,-1.2758064516129,1970-09-28,1970-10-04
"ENSO34",1970,40,-1.11884792626728,1970-09-28,1970-10-04
"ENSO4",1970,40,-1.1671797235023,1970-09-28,1970-10-04
"IOD",1970,41,-0.563258064516129,1970-10-05,1970-10-11
"ENSO3",1970,41,-1.31741935483871,1970-10-05,1970-10-11
"ENSO34",1970,41,-1.12225806451613,1970-10-05,1970-10-11
"ENSO4",1970,41,-1.16096774193548,1970-10-05,1970-10-11
"IOD",1970,42,-0.488516129032258,1970-10-12,1970-10-18
"ENSO3",1970,42,-1.36483870967742,1970-10-12,1970-10-18
"ENSO34",1970,42,-1.12451612903226,1970-10-12,1970-10-18
"ENSO4",1970,42,-1.15193548387097,1970-10-12,1970-10-18
"IOD",1970,43,-0.413774193548387,1970-10-19,1970-10-25
"ENSO3",1970,43,-1.41225806451613,1970-10-19,1970-10-25
"ENSO34",1970,43,-1.12677419354839,1970-10-19,1970-10-25
"ENSO4",1970,43,-1.14290322580645,1970-10-19,1970-10-25
"IOD",1970,44,-0.339032258064516,1970-10-26,1970-11-01
"ENSO3",1970,44,-1.45967741935484,1970-10-26,1970-11-01
"ENSO34",1970,44,-1.12903225806452,1970-10-26,1970-11-01
"ENSO4",1970,44,-1.13387096774194,1970-10-26,1970-11-01
"IOD",1970,45,-0.2974,1970-11-02,1970-11-08
