"iso_code","year","total_population","births_per_1000","deaths_per_1000"
"AGO",1967,5641807,52.229,26.362
"AGO",1968,5702699.5,52.034,25.951
"AGO",1969,5763685,51.777,25.518
"AGO",1970,5852788,51.218,24.956
"AGO",1971,5991102,50.188,24.318
"AGO",1972,6174262.5,49.487,23.68
"AGO",1973,6388528,49.292,23.163
"AGO",1974,6613367,49.17,22.73
"AGO",1975,6842946.5,49.045,22.973
"AGO",1976,7074664.5,48.968,22.899
"AGO",1977,7317829.5,48.845,22.492
"AGO",1978,7576733.5,48.914,22.167
"AGO",1979,7847207,49.014,21.878
"AGO",1980,8133871.5,49.154,21.611
"AGO",1981,8435607,49.404,21.387
"AGO",1982,8751648.5,49.622,21.178
"AGO",1983,9082982.5,49.94,21.881
"AGO",1984,9425917.5,50.308,21.716
"AGO",1985,9779119.5,50.576,21.572
"AGO",1986,10139449.5,50.75,21.427
"AGO",1987,10497857.5,50.778,22.993
"AGO",1988,10861291,50.716,22.42
"AGO",1989,11238562,50.566,22.217
"AGO",1990,11626359.5,50.318,22.055
"AGO",1991,12023528.5,50.042,20.535
"AGO",1992,12423712.5,49.53,21.67
"AGO",1993,12827134.5,49.087,21.448
"AGO",1994,13249764.5,48.733,20.334
"AGO",1995,13699778,48.38,18.7
"AGO",1996,14170973,47.979,18.445
"AGO",1997,14660412.5,47.564,18.184
"AGO",1998,15159370,47.206,18.925
"AGO",1999,15667234.5,46.997,18.518
"AGO",2000,16194868.5,46.853,18.08
"AGO",2001,16747207.5,46.771,17.606
"AGO",2002,17327699.5,46.666,17.071
"AGO",2003,17943712,46.551,15.559
"AGO",2004,18600423,46.46,14.958
"AGO",2005,19291160.5,46.342,14.31
"AGO",2006,20015279,46.123,13.757
"AGO",2007,20778561.5,45.838,12.98
"AGO",2008,21578655,45.507,12.302
"AGO",2009,22414773.5,45.175,11.702
"AGO",2010,23294825,44.661,11.078
"AGO",2011,24218351.5,44.136,10.546
"AGO",2012,25177394,43.61,10.043
"AGO",2013,26165620,43.065,9.578
"AGO",2014,27160769.5,42.503,9.179
"AGO",2015,28157798,41.847,8.809
"AGO",2016,29183070,41.183,8.476
"AGO",2017,30234839,40.595,8.192
"AGO",2018,31297155,40.057,7.928
"AGO",2019,32375632.5,39.539,7.701
"AGO",2020,33451132.5,39.127,7.628
"AGO",2021,34532429,38.67,7.619
"AGO",2022,35635029,38.102,7.097
"AGO",2023,36749906,37.588,6.925
"AGO",2024,37885849.5,37.158,6.84
"AGO",2025,39040038.5,36.624,6.759
"AGO",2026,40215179.5,36.331,6.687
"AGO",2027,41415124.5,35.928,6.613
"AGO",2028,42641676,35.631,6.551
"AGO",2029,43891850.5,35.298,6.495
"AGO",2030,45160458,34.763,6.428
"AGO",2031,46449964.5,34.346,6.367
"AGO",2032,47759509.5,33.891,6.313
"AGO",2033,49091474,33.526,6.261
"AGO",2034,50447455.5,33.16,6.219
"AGO",2035,51821718,32.796,6.178
"AGO",2036,53215939,32.412,6.138
"AGO",2037,54625871,31.865,6.096
"AGO",2038,56053780,31.594,6.067
"AGO",2039,57501916,31.196,6.039
"AGO",2040,58965321.5,30.865,6.011
"AGO",2041,60441178.5,30.37,5.982
"AGO",2042,61927913.5,29.93,5.95
"AGO",2043,63430877.5,29.508,5.927
"AGO",2044,64945298.5,29.125,5.909
"AGO",2045,66464328.5,28.741,5.89
"AGO",2046,68000598,28.402,5.879
"AGO",2047,69554170,28.041,5.865
"AGO",2048,71118784,27.709,5.857
"AGO",2049,72701385,27.367,5.85
"AGO",2050,74295394.5,27.023,5.844
"AGO",2051,75892826,26.671,5.844
"AGO",2052,77501965.5,26.331,5.839
"AGO",2053,79123457.5,25.975,5.837
"AGO",2054,80752716,25.64,5.841
"AGO",2055,82392220.5,25.3,5.848
"AGO",2056,84032204,24.986,5.856
"AGO",2057,85679410,24.654,5.867
"AGO",2058,87336039,24.355,5.879
"AGO",2059,88991591.5,24.05,5.894
"AGO",2060,90647914,23.757,5.911
"AGO",2061,92310988,23.47,5.927
"AGO",2062,93969991,23.178,5.952
"AGO",2063,95625116.5,22.897,5.975
"AGO",2064,97282779,22.624,5.997
"AGO",2065,98933230,22.369,6.023
"AGO",2066,100578469,22.121,6.048
"AGO",2067,102219413,21.865,6.08
"AGO",2068,103858186,21.636,6.119
"AGO",2069,105498663,21.392,6.157
"AGO",2070,107137076,21.154,6.192
"AGO",2071,108767796,20.909,6.233
"AGO",2072,110391405.5,20.668,6.274
"AGO",2073,112014399.5,20.433,6.318
"AGO",2074,113630808.5,20.216,6.362
"AGO",2075,115220841.5,19.981,6.414
"AGO",2076,116788430,19.753,6.461
"AGO",2077,118356154,19.517,6.512
"AGO",2078,119925101.5,19.297,6.571
"AGO",2079,121471112,19.059,6.627
"AGO",2080,123012399,18.834,6.69
