"iso_code","year","total_population","births_per_1000","deaths_per_1000"
"AGO",2081,124542887,18.62,6.755
"AGO",2082,126039002,18.419,6.823
"AGO",2083,127515736,18.216,6.892
"AGO",2084,128986053.5,18.02,6.959
"AGO",2085,130454010.5,17.841,7.025
"AGO",2086,131908573,17.673,7.097
"AGO",2087,133334694.5,17.511,7.173
"AGO",2088,134748103,17.359,7.249
"AGO",2089,136163364,17.206,7.325
"AGO",2090,137556711,17.057,7.402
"AGO",2091,138919849,16.905,7.481
"AGO",2092,140249378.5,16.761,7.566
"AGO",2093,141550054.5,16.629,7.646
"AGO",2094,142835147.5,16.479,7.719
"AGO",2095,144102524.5,16.333,7.797
"AGO",2096,145340832.5,16.166,7.877
"AGO",2097,146549586,16.031,7.953
"AGO",2098,147743369,15.876,8.03
"AGO",2099,148912810,15.725,8.109
"AGO",2100,150045574.5,15.608,8.179
"BDI",1967,3300690,47.532,21.364
"BDI",1968,3380387,47.604,21.345
"BDI",1969,3454590,48.021,21.722
"BDI",1970,3530432.5,47.734,21.54
"BDI",1971,3617289.5,47.892,21.587
"BDI",1972,3617127.5,48.803,40.362
"BDI",1973,3611991,46.648,25.938
"BDI",1974,3703590.5,47.063,21.281
"BDI",1975,3796612,47.934,21.286
"BDI",1976,3882626,47.976,21.088
"BDI",1977,3983582.5,48.06,20.826
"BDI",1978,4100338,48.498,20.48
"BDI",1979,4203530,49.511,20.16
"BDI",1980,4383705.5,48.377,19.236
"BDI",1981,4566014,51.228,19.202
"BDI",1982,4681390,50.089,18.669
"BDI",1983,4808527.5,50.114,18.337
"BDI",1984,4926465,49.34,18.006
"BDI",1985,5034042.5,49.096,17.929
"BDI",1986,5129414.5,48.376,17.93
"BDI",1987,5247786.5,47.957,17.948
"BDI",1988,5365326.5,47.855,20.786
"BDI",1989,5471706,47.42,18.627
"BDI",1990,5587052.5,46.911,18.879
"BDI",1991,5703857,46.481,19.105
"BDI",1992,5858406.5,45.686,18.986
"BDI",1993,5676843,48.909,26.203
"BDI",1994,5713853.5,37.461,17.69
"BDI",1995,6066316,44.965,18.543
"BDI",1996,6070505.5,44.757,18.578
"BDI",1997,6070042,42.237,17.459
"BDI",1998,6187108,41.389,16.497
"BDI",1999,6337155.5,42.211,15.906
"BDI",2000,6470193.5,42.726,15.854
"BDI",2001,6634365,43.035,15.219
"BDI",2002,6824132.5,44.042,14.457
"BDI",2003,7043154.5,44.528,13.818
"BDI",2004,7310656,45.29,13.16
"BDI",2005,7587299,46.154,12.756
"BDI",2006,7865546.5,46.575,12.264
"BDI",2007,8161874,46.726,11.768
"BDI",2008,8505637,46.656,11.297
"BDI",2009,8947645.5,46.489,10.772
"BDI",2010,9376444.5,46.963,10.509
"BDI",2011,9717978,45.978,10.072
"BDI",2012,10071027.5,44.758,9.601
"BDI",2013,10439340.5,43.899,9.201
"BDI",2014,10799785.5,42.901,8.845
"BDI",2015,11047580,42.257,8.688
"BDI",2016,11239451,40.096,8.209
"BDI",2017,11506762,38.618,7.864
"BDI",2018,11859446,37.215,7.559
"BDI",2019,12255336.5,36.579,7.394
"BDI",2020,12617036,35.855,7.191
"BDI",2021,12965481.5,35.06,7.306
"BDI",2022,13321097.5,34.306,6.997
"BDI",2023,13689449.5,33.667,6.718
"BDI",2024,14047786,33.211,6.67
"BDI",2025,14390002.5,32.573,6.624
"BDI",2026,14729157,32.02,6.577
"BDI",2027,15076979,31.564,6.537
"BDI",2028,15444014.5,31.278,6.506
"BDI",2029,15815855.5,31.074,6.487
"BDI",2030,16182016.5,30.936,6.469
"BDI",2031,16555030,30.775,6.449
"BDI",2032,16935238,30.634,6.434
"BDI",2033,17317634,30.518,6.419
"BDI",2034,17700808,30.09,6.403
"BDI",2035,18085841,29.942,6.388
"BDI",2036,18483055,29.526,6.37
"BDI",2037,18893258.5,29.238,6.354
"BDI",2038,19305533,28.967,6.345
"BDI",2039,19718521.5,28.65,6.335
"BDI",2040,20131317.5,28.311,6.331
"BDI",2041,20537556,27.966,6.33
"BDI",2042,20951562.5,27.558,6.323
"BDI",2043,21370848.5,27.156,6.327
"BDI",2044,21785692,26.722,6.337
"BDI",2045,22197887,26.289,6.351
"BDI",2046,22586207.5,25.828,6.372
"BDI",2047,22970064.5,25.322,6.389
"BDI",2048,23358496.5,24.852,6.417
"BDI",2049,23748952.5,24.362,6.443
"BDI",2050,24131720,23.967,6.478
"BDI",2051,24498523,23.53,6.512
"BDI",2052,24871150,23.179,6.557
"BDI",2053,25245547.5,22.84,6.607
"BDI",2054,25619885,22.498,6.651
"BDI",2055,25984925,22.215,6.706
"BDI",2056,26343379.5,21.884,6.759
"BDI",2057,26695956,21.616,6.814
"BDI",2058,27038594.5,21.359,6.875
"BDI",2059,27384211.5,21.132,6.938
"BDI",2060,27730966,20.93,7.001
"BDI",2061,28076064,20.755,7.057
"BDI",2062,28421068,20.583,7.121
"BDI",2063,28759211.5,20.417,7.182
"BDI",2064,29095183,20.249,7.239
"BDI",2065,29449560,20.073,7.295
"BDI",2066,29807611.5,19.915,7.346
"BDI",2067,30158820,19.735,7.399
"BDI",2068,30505790.5,19.557,7.458
"BDI",2069,30843197,19.398,7.51
"BDI",2070,31182954.5,19.209,7.562
"BDI",2071,31506401.5,19.017,7.612
"BDI",2072,31818375.5,18.801,7.662
"BDI",2073,32138558,18.607,7.716
"BDI",2074,32450614,18.387,7.777
"BDI",2075,32760373.5,18.19,7.84
"BDI",2076,33059270.5,17.977,7.91
"BDI",2077,33354542.5,17.749,7.979
"BDI",2078,33650366,17.54,8.062
"BDI",2079,33929290,17.325,8.14
"BDI",2080,34187556,17.122,8.232
"BDI",2081,34443600.5,16.893,8.32
"BDI",2082,34704070.5,16.739,8.422
"BDI",2083,34938900.5,16.566,8.528
"BDI",2084,35161178,16.377,8.632
"BDI",2085,35393143,16.207,8.737
"BDI",2086,35615855,16.042,8.849
"BDI",2087,35813561,15.901,8.965
"BDI",2088,36010793.5,15.741,9.086
"BDI",2089,36216270.5,15.589,9.193
"BDI",2090,36403374.5,15.479,9.294
"BDI",2091,36570011,15.353,9.409
"BDI",2092,36733610,15.241,9.511
"BDI",2093,36895771,15.154,9.604
"BDI",2094,37063880,15.04,9.696
"BDI",2095,37221702.5,14.951,9.771
"BDI",2096,37359555.5,14.869,9.851
"BDI",2097,37495697.5,14.791,9.922
"BDI",2098,37634309,14.709,9.988
"BDI",2099,37763562,14.627,10.045
"BDI",2100,37873961.5,14.538,10.105
"BEN",1967,2872997,47.541,25.018
"BEN",1968,2934257,47.48,24.535
"BEN",1969,2998222.5,47.48,24.081
"BEN",1970,3065057,47.481,23.613
"BEN",1971,3134766.5,47.463,23.208
"BEN",1972,3207542.5,47.44,22.681
"BEN",1973,3283496,47.272,22.17
"BEN",1974,3362633,47.181,21.718
"BEN",1975,3445407,47.145,21.212
"BEN",1976,3532196,47.077,20.708
"BEN",1977,3623202,47.033,20.206
"BEN",1978,3718304.5,46.893,19.794
"BEN",1979,3818528.5,47.401,19.437
"BEN",1980,3925251,47.92,19.14
"BEN",1981,4038307,48.221,18.844
"BEN",1982,4156596,48.046,18.515
"BEN",1983,4278978,47.695,18.167
"BEN",1984,4405894.5,47.564,17.697
"BEN",1985,4538012.5,47.348,17.242
"BEN",1986,4675420,47.092,16.712
"BEN",1987,4818486.5,46.901,16.231
"BEN",1988,4967340.5,46.592,15.674
"BEN",1989,5121657,45.988,15.288
"BEN",1990,5281479,45.713,14.84
"BEN",1991,5446932,45.361,14.486
"BEN",1992,5617844,44.924,13.988
"BEN",1993,5872706,44.07,13.444
"BEN",1994,6096506,45.699,13.445
"BEN",1995,6226773,44.35,13.117
"BEN",1996,6391857.5,43.738,12.817
"BEN",1997,6583365.5,43.381,12.518
"BEN",1998,6789488.5,43.007,12.321
"BEN",1999,7002818,42.548,12.121
"BEN",2000,7221619,42.079,11.89
"BEN",2001,7445596,41.695,11.761
"BEN",2002,7675426.5,41.48,11.583
"BEN",2003,7913070,41.475,11.403
"BEN",2004,8159094,41.329,11.224
"BEN",2005,8426143.5,41.087,10.967
"BEN",2006,8693242,41.341,10.853
"BEN",2007,8953969,40.961,10.661
"BEN",2008,9228466,40.371,10.654
"BEN",2009,9509423,39.982,10.516
"BEN",2010,9797484,39.77,10.405
"BEN",2011,10093623.5,39.691,10.331
"BEN",2012,10397657,39.706,10.259
"BEN",2013,10708833.5,39.582,10.092
"BEN",2014,11030003.5,39.342,9.99
"BEN",2015,11360681,38.996,9.898
"BEN",2016,11697841.5,38.554,9.783
"BEN",2017,12039780,37.84,9.62
"BEN",2018,12383347.5,36.955,9.477
"BEN",2019,12726755,36.036,9.335
"BEN",2020,13070169,35.331,9.17
"BEN",2021,13413417,34.779,9.349
"BEN",2022,13759500.5,34.35,8.948
"BEN",2023,14111034.5,33.879,8.797
"BEN",2024,14462724,33.419,8.71
"BEN",2025,14814459.5,33.046,8.633
"BEN",2026,15170419.5,32.576,8.555
"BEN",2027,15529413.5,32.182,8.488
"BEN",2028,15890280,31.671,8.419
"BEN",2029,16253920,31.351,8.363
"BEN",2030,16618822,30.949,8.315
"BEN",2031,16985930.5,30.583,8.265
"BEN",2032,17357063.5,30.147,8.221
"BEN",2033,17731437.5,29.929,8.185
"BEN",2034,18109912.5,29.644,8.152
"BEN",2035,18492631.5,29.423,8.125
"BEN",2036,18878045,29.08,8.096
"BEN",2037,19264499.5,28.768,8.065
"BEN",2038,19655275,28.427,8.039
"BEN",2039,20049969,28.142,8.024
"BEN",2040,20445759.5,27.934,8.011
"BEN",2041,20843264,27.564,7.994
"BEN",2042,21242981,27.292,7.98
"BEN",2043,21643637,26.975,7.973
"BEN",2044,22042571,26.663,7.964
"BEN",2045,22443646,26.313,7.965
"BEN",2046,22846196,26.051,7.972
"BEN",2047,23245138.5,25.64,7.975
"BEN",2048,23642190.5,25.287,7.971
"BEN",2049,24038607.5,24.926,7.971
"BEN",2050,24433809.5,24.535,7.974
"BEN",2051,24827844.5,24.251,7.985
"BEN",2052,25220854,23.938,8.008
"BEN",2053,25610344.5,23.674,8.024
"BEN",2054,25998164,23.37,8.038
"BEN",2055,26386125,23.059,8.063
"BEN",2056,26768353.5,22.776,8.086
"BEN",2057,27146958.5,22.517,8.109
"BEN",2058,27524089.5,22.283,8.136
"BEN",2059,27899072,22.038,8.171
"BEN",2060,28272759.5,21.816,8.206
"BEN",2061,28643202,21.607,8.243
"BEN",2062,29011907,21.387,8.279
"BEN",2063,29379347.5,21.171,8.322
"BEN",2064,29746076,21.003,8.366
"BEN",2065,30111489,20.829,8.418
"BEN",2066,30471402.5,20.649,8.468
"BEN",2067,30825989.5,20.458,8.517
"BEN",2068,31177482.5,20.279,8.57
"BEN",2069,31528705.5,20.078,8.62
"BEN",2070,31879283,19.884,8.679
"BEN",2071,32224059.5,19.704,8.729
"BEN",2072,32564726,19.498,8.781
"BEN",2073,32900611.5,19.294,8.84
"BEN",2074,33229130,19.056,8.896
"BEN",2075,33548440,18.859,8.955
"BEN",2076,33860334.5,18.663,9.019
"BEN",2077,34169266,18.471,9.078
"BEN",2078,34473295,18.293,9.139
"BEN",2079,34771315.5,18.126,9.203
"BEN",2080,35063024,17.944,9.275
"BEN",2081,35348910.5,17.774,9.337
"BEN",2082,35632346,17.575,9.405
"BEN",2083,35910584,17.399,9.474
"BEN",2084,36178046.5,17.245,9.547
"BEN",2085,36438979.5,17.085,9.622
"BEN",2086,36693858,16.939,9.693
"BEN",2087,36942732.5,16.798,9.769
"BEN",2088,37186929.5,16.661,9.853
"BEN",2089,37424139,16.53,9.932
"BEN",2090,37651973.5,16.381,10.016
"BEN",2091,37871222,16.244,10.093
"BEN",2092,38086110.5,16.11,10.167
"BEN",2093,38295128.5,16.001,10.248
"BEN",2094,38500326.5,15.9,10.324
"BEN",2095,38700678,15.802,10.393
"BEN",2096,38892735,15.697,10.461
"BEN",2097,39074808.5,15.574,10.533
"BEN",2098,39249871,15.473,10.591
"BEN",2099,39421859.5,15.369,10.656
"BEN",2100,39587568,15.26,10.718
"BFA",1967,5326348,47.704,25.696
"BFA",1968,5418643.5,47.881,25.502
"BFA",1969,5513177,47.763,25.332
"BFA",1970,5610304,47.705,24.923
"BFA",1971,5707999,47.624,24.687
"BFA",1972,5807234.5,47.625,24.248
"BFA",1973,5911927,47.799,23.822
"BFA",1974,6024904,48.006,23.237
"BFA",1975,6147569,48.235,22.668
"BFA",1976,6280635,48.35,22.043
"BFA",1977,6428733.5,48.768,21.442
"BFA",1978,6590984,49.264,20.889
"BFA",1979,6763902.5,49.497,20.424
"BFA",1980,6947899.5,49.429,19.888
"BFA",1981,7140271,49.37,19.592
"BFA",1982,7340197,49.115,19.021
"BFA",1983,7551129,48.921,18.665
"BFA",1984,7772255.5,48.941,18.34
"BFA",1985,7999934.5,48.92,18.098
"BFA",1986,8228847,48.603,17.867
"BFA",1987,8457109,48.169,17.694
"BFA",1988,8687435.5,47.669,17.503
"BFA",1989,8921175,47.318,17.354
"BFA",1990,9159356.5,47.125,17.227
"BFA",1991,9394632,46.958,17.142
"BFA",1992,9629275.5,46.566,17.008
"BFA",1993,9871713,46.153,16.873
"BFA",1994,10123798,46.016,16.732
"BFA",1995,10386722.5,46.043,16.594
"BFA",1996,10655942.5,46.074,16.436
"BFA",1997,10934223,45.902,16.43
"BFA",1998,11240664,45.576,15.934
"BFA",1999,11574928.5,45.237,15.636
"BFA",2000,11925545.5,45.239,15.332
"BFA",2001,12295001,44.907,14.998
"BFA",2002,12680896.5,44.483,14.727
"BFA",2003,13082532,44.491,14.335
"BFA",2004,13500533.5,44.124,13.861
"BFA",2005,13932123.5,44.058,13.392
"BFA",2006,14373707,44.381,13.049
"BFA",2007,14816306.5,44.191,12.653
"BFA",2008,15258093,43.923,12.122
"BFA",2009,15710065.5,43.511,11.71
"BFA",2010,16176498,43.2,11.334
"BFA",2011,16661908,42.76,10.905
"BFA",2012,17172287,42.28,10.584
"BFA",2013,17695409,41.703,10.277
"BFA",2014,18229461,40.862,9.966
"BFA",2015,18777487,40.043,9.658
"BFA",2016,19334855.5,38.925,9.366
"BFA",2017,19894407,37.727,9.077
"BFA",2018,20438288,36.006,8.778
"BFA",2019,20961952.5,34.325,8.564
"BFA",2020,21478689.5,32.738,8.325
"BFA",2021,21995243,32.416,8.435
"BFA",2022,22509038.5,32.043,8.135
"BFA",2023,23025776,31.643,7.964
"BFA",2024,23548781,31.336,7.915
"BFA",2025,24074580,30.808,7.838
"BFA",2026,24601700,30.401,7.773
"BFA",2027,25130911,29.949,7.706
"BFA",2028,25661941,29.579,7.65
"BFA",2029,26194607,29.16,7.6
"BFA",2030,26730324.5,28.868,7.555
"BFA",2031,27270863.5,28.564,7.514
"BFA",2032,27815170,28.265,7.485
"BFA",2033,28363850.5,28.062,7.457
"BFA",2034,28916948,27.711,7.431
"BFA",2035,29469746,27.267,7.412
"BFA",2036,30019877.5,26.835,7.389
"BFA",2037,30567560,26.406,7.376
"BFA",2038,31112525,25.972,7.361
"BFA",2039,31654872,25.612,7.352
"BFA",2040,32193645,25.183,7.345
"BFA",2041,32728838,24.808,7.351
"BFA",2042,33260948,24.445,7.356
"BFA",2043,33788598,24.072,7.366
"BFA",2044,34311736,23.715,7.378
"BFA",2045,34829690.5,23.293,7.395
"BFA",2046,35339502.5,22.915,7.418
"BFA",2047,35842178,22.543,7.441
"BFA",2048,36336706,22.183,7.476
"BFA",2049,36823432,21.836,7.51
"BFA",2050,37304383,21.49,7.551
"BFA",2051,37777225,21.166,7.594
"BFA",2052,38242572,20.861,7.644
"BFA",2053,38701585,20.562,7.698
"BFA",2054,39152190,20.306,7.761
"BFA",2055,39594569,20.058,7.829
"BFA",2056,40029935,19.814,7.898
"BFA",2057,40459357.5,19.588,7.969
"BFA",2058,40882711,19.359,8.042
"BFA",2059,41296899,19.134,8.119
"BFA",2060,41703264,18.929,8.191
"BFA",2061,42104629.5,18.721,8.275
"BFA",2062,42497031.5,18.507,8.349
"BFA",2063,42879256,18.319,8.434
"BFA",2064,43255063.5,18.133,8.521
"BFA",2065,43621034.5,17.94,8.607
"BFA",2066,43977050.5,17.771,8.698
"BFA",2067,44325774.5,17.587,8.783
"BFA",2068,44665708,17.428,8.876
"BFA",2069,44996492,17.246,8.972
"BFA",2070,45317075,17.041,9.065
"BFA",2071,45627048.5,16.866,9.16
"BFA",2072,45928075,16.69,9.259
"BFA",2073,46220199.5,16.502,9.365
"BFA",2074,46499298,16.315,9.476
"BFA",2075,46763507.5,16.128,9.585
"BFA",2076,47017350,15.963,9.702
"BFA",2077,47261630,15.791,9.824
"BFA",2078,47491510.5,15.636,9.939
"BFA",2079,47706648.5,15.489,10.072
"BFA",2080,47909726.5,15.331,10.196
"BFA",2081,48101230.5,15.18,10.319
"BFA",2082,48280446,15.045,10.453
"BFA",2083,48448867.5,14.932,10.589
"BFA",2084,48606399.5,14.821,10.719
"BFA",2085,48752490.5,14.712,10.851
"BFA",2086,48888622.5,14.583,10.972
"BFA",2087,49016575.5,14.491,11.09
"BFA",2088,49135258.5,14.399,11.206
"BFA",2089,49242231,14.305,11.317
"BFA",2090,49338636,14.207,11.418
"BFA",2091,49423427,14.103,11.523
"BFA",2092,49500273,14.008,11.613
"BFA",2093,49570113,13.927,11.7
"BFA",2094,49630280,13.86,11.789
"BFA",2095,49681950,13.786,11.865
"BFA",2096,49728799.5,13.723,11.939
"BFA",2097,49771490,13.64,12.01
"BFA",2098,49806205,13.552,12.073
"BFA",2099,49833573.5,13.458,12.122
"BFA",2100,49854228.5,13.384,12.177
"BWA",1967,580932.5,45.523,13.741
"BWA",1968,583965.5,45.489,13.425
"BWA",1969,587066,45.508,13.103
"BWA",1970,590334,45.71,12.784
"BWA",1971,600481,45.484,12.301
"BWA",1972,622407,45.532,11.786
"BWA",1973,652408,45.704,11.294
"BWA",1974,685448,46.113,10.867
"BWA",1975,720379.5,46.195,10.433
"BWA",1976,758507.5,46.229,9.978
"BWA",1977,799574,45.803,9.522
"BWA",1978,849239,45.058,9.031
"BWA",1979,901742.5,44.709,8.683
"BWA",1980,937485,44.651,8.454
"BWA",1981,969996.5,43.449,8.06
"BWA",1982,1009268.5,42.325,7.786
"BWA",1983,1046136.5,41.151,7.559
"BWA",1984,1083660.5,40.188,7.401
"BWA",1985,1121945,39.369,7.312
"BWA",1986,1160650,38.517,7.325
"BWA",1987,1199167,37.154,7.427
"BWA",1988,1235476.5,35.798,7.822
"BWA",1989,1270273.5,34.505,7.931
"BWA",1990,1305696,33.623,8.338
"BWA",1991,1341756.5,32.834,8.822
"BWA",1992,1380032.5,32.353,9.169
"BWA",1993,1420115,31.915,9.599
"BWA",1994,1460022.5,31.27,10.267
"BWA",1995,1498836,29.894,10.894
"BWA",1996,1535914,28.613,11.134
"BWA",1997,1571691.5,27.91,11.534
"BWA",1998,1606899.5,27.747,11.942
"BWA",1999,1641997,27.731,12.288
"BWA",2000,1677382.5,27.936,12.525
"BWA",2001,1712254,27.907,12.657
"BWA",2002,1744762.5,27.647,12.652
"BWA",2003,1775736.5,27.393,12.444
"BWA",2004,1807146,27.309,12.102
"BWA",2005,1839877,27.706,11.735
"BWA",2006,1874516.5,28.141,11.422
"BWA",2007,1911201,28.335,10.633
"BWA",2008,1949970.5,28.396,10.225
"BWA",2009,1990673,28.396,9.975
"BWA",2010,2033110.5,28.365,9.625
"BWA",2011,2073534.5,28.038,9.416
"BWA",2012,2108616.5,27.742,9.151
"BWA",2013,2140682.5,27.183,8.776
"BWA",2014,2172044,26.795,8.358
"BWA",2015,2203273,26.475,7.913
"BWA",2016,2234775.5,26.254,7.463
"BWA",2017,2266747,26.073,7.035
"BWA",2018,2299141,25.897,6.685
"BWA",2019,2332083,25.751,6.408
"BWA",2020,2365893.5,25.532,6.254
"BWA",2021,2401440.5,25.422,8.393
"BWA",2022,2439891.5,25.253,5.826
"BWA",2023,2480244.5,24.713,5.724
"BWA",2024,2521139,24.361,5.738
"BWA",2025,2562122,23.881,5.747
"BWA",2026,2603388,23.386,5.754
"BWA",2027,2644642.5,22.876,5.769
"BWA",2028,2685607.5,22.377,5.785
"BWA",2029,2726043.5,21.855,5.812
"BWA",2030,2765917.5,21.338,5.839
"BWA",2031,2804989,20.857,5.873
"BWA",2032,2843233.5,20.397,5.912
"BWA",2033,2880982.5,19.927,5.955
"BWA",2034,2917977.5,19.496,5.997
"BWA",2035,2954414,19.102,6.049
"BWA",2036,2990135,18.732,6.108
"BWA",2037,3025228,18.421,6.172
"BWA",2038,3059532.5,18.154,6.239
"BWA",2039,3093374.5,17.916,6.315
"BWA",2040,3126640,17.698,6.393
"BWA",2041,3159130.5,17.514,6.476
"BWA",2042,3190970,17.358,6.562
"BWA",2043,3222567,17.199,6.651
"BWA",2044,3254014.5,17.058,6.744
"BWA",2045,3285301,16.91,6.84
"BWA",2046,3317002.5,16.755,6.934
"BWA",2047,3348499.5,16.59,7.035
"BWA",2048,3379112,16.442,7.131
"BWA",2049,3408768,16.28,7.236
"BWA",2050,3437430,16.107,7.347
"BWA",2051,3465408.5,15.938,7.454
"BWA",2052,3493077.5,15.754,7.565
"BWA",2053,3519978,15.592,7.677
"BWA",2054,3545430,15.421,7.794
"BWA",2055,3570057.5,15.245,7.92
"BWA",2056,3594089,15.075,8.04
"BWA",2057,3617756,14.889,8.158
"BWA",2058,3641214,14.7,8.283
"BWA",2059,3662868,14.524,8.407
"BWA",2060,3682967.5,14.336,8.54
"BWA",2061,3702545.5,14.15,8.674
"BWA",2062,3720811.5,13.964,8.807
"BWA",2063,3737290,13.796,8.945
"BWA",2064,3752679,13.646,9.089
"BWA",2065,3767441,13.496,9.225
"BWA",2066,3780895.5,13.342,9.365
"BWA",2067,3793353.5,13.211,9.511
"BWA",2068,3804747,13.083,9.657
"BWA",2069,3814867.5,12.984,9.795
"BWA",2070,3823498.5,12.863,9.944
"BWA",2071,3830655,12.765,10.094
"BWA",2072,3837865,12.661,10.225
"BWA",2073,3844506.5,12.592,10.351
"BWA",2074,3850178.5,12.519,10.474
"BWA",2075,3855867,12.456,10.589
"BWA",2076,3861535.5,12.388,10.698
"BWA",2077,3866643.5,12.325,10.804
"BWA",2078,3871221.5,12.268,10.898
"BWA",2079,3874905,12.204,10.991
"BWA",2080,3877213.5,12.139,11.064
"BWA",2081,3878571.5,12.079,11.137
"BWA",2082,3880017.5,12.006,11.201
"BWA",2083,3881689,11.935,11.262
"BWA",2084,3883105.5,11.852,11.319
"BWA",2085,3884067,11.803,11.36
"BWA",2086,3884583.5,11.735,11.396
"BWA",2087,3885182,11.665,11.422
"BWA",2088,3885442,11.601,11.45
"BWA",2089,3885043.5,11.546,11.479
"BWA",2090,3883332,11.478,11.505
"BWA",2091,3879753.5,11.405,11.548
"BWA",2092,3875608.5,11.321,11.586
"BWA",2093,3871635,11.254,11.624
"BWA",2094,3867504,11.175,11.672
"BWA",2095,3863243,11.112,11.717
"BWA",2096,3858667.5,11.042,11.763
